key,dex_number,name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
130_Mega Gyarados,130,Mega Gyarados,95,155,109,70,130,81
131_Gigantamax Lapras,131,Gigantamax Lapras,130,100,95,145,105,60
131_Lapras,131,Lapras,130,85,80,85,95,60
132_Ditto,132,Ditto,48,48,48,48,48,48
133_Eevee,133,Eevee,55,55,50,45,65,55
133_Gigantamax Eevee,133,Gigantamax Eevee,95,105,50,45,65,85
133_Partner Eevee,133,Partner Eevee,65,75,70,65,85,75
134_Vaporeon,134,Vaporeon,130,65,60,110,95,65
135_Jolteon,135,Jolteon,65,65,60,110,95,130
136_Flareon,136,Flareon,65,130,60,95,110,65
137_Porygon,137,Porygon,65,60,70,85,75,40
138_Omanyte,138,Omanyte,35,40,100,90,55,35
139_Omastar,139,Omastar,70,60,125,115,70,55
140_Kabuto,140,Kabuto,30,80,90,55,45,55
141_Kabutops,141,Kabutops,60,115,105,65,70,80
142_Aerodactyl,142,Aerodactyl,80,105,65,60,75,130
142_Mega Aerodactyl,142,Mega Aerodactyl,80,135,85,70,95,150
143_Gigantamax Snorlax,143,Gigantamax Snorlax,170,130,75,95,125,45
143_Snorlax,143,Snorlax,160,110,65,65,110,30
144_Articuno,144,Articuno,90,85,100,95,125,85
144_Galarian Articuno,144,Galarian Articuno,90,85,85,125,100,95
145_Galarian Zapdos,145,Galarian Zapdos,90,125,90,85,90,100
145_Zapdos,145,Zapdos,90,90,85,125,90,100
146_Galarian Moltres,146,Galarian Moltres,90,85,90,100,125,90
146_Moltres,146,Moltres,90,100,90,125,85,90
147_Dratini,147,Dratini,41,64,45,50,50,50
148_Dragonair,148,Dragonair,61,84,65,70,70,70
149_Dragonite,149,Dragonite,91,134,95,100,100,80
150_Mega Mewtwo X,150,Mega Mewtwo X,106,190,100,154,100,130
150_Mega Mewtwo Y,150,Mega Mewtwo Y,106,150,70,194,120,140
150_Mewtwo,150,Mewtwo,106,110,90,154,90,130
151_Mew,151,Mew,100,100,100,100,100,100
152_Chikorita,152,Chikorita,45,49,65,49,65,45
153_Bayleef,153,Bayleef,60,62,80,63,80,60
154_Meganium,154,Meganium,80,82,100,83,100,80
155_Cyndaquil,155,Cyndaquil,39,52,43,60,50,65
156_Quilava,156,Quilava,58,64,58,80,65,80
157_Hisuian Typhlosion,157,Hisuian Typhlosion,73,84,78,119,85,95
157_Typhlosion,157,Typhlosion,78,84,78,109,85,100
158_Totodile,158,Totodile,50,65,64,44,48,43
159_Croconaw,159,Croconaw,65,80,80,59,63,58
160_Feraligatr,160,Feraligatr,85,105,100,79,83,78
161_Sentret,161,Sentret,35,46,34,35,45,20
162_Furret,162,Furret,85,76,64,45,55,90
163_Hoothoot,163,Hoothoot,60,30,30,36,56,50
164_Noctowl,164,Noctowl,100,50,50,86,96,70
165_Ledyba,165,Ledyba,40,20,30,40,80,55
166_Ledian,166,Ledian,55,35,50,55,110,85
167_Spinarak,167,Spinarak,40,60,40,40,40,30
168_Ariados,168,Ariados,70,90,70,60,70,40
169_Crobat,169,Crobat,85,90,80,70,80,130
170_Chinchou,170,Chinchou,75,38,38,56,56,67
171_Lanturn,171,Lanturn,125,58,58,76,76,67
172_Pichu,172,Pichu,20,40,15,35,35,60
172_Spiky-eared Pichu,172,Spiky-eared Pichu,20,40,15,35,35,60
173_Cleffa,173,Cleffa,50,25,28,45,55,15
174_Igglybuff,174,Igglybuff,90,30,15,40,20,15
175_Togepi,175,Togepi,35,20,65,40,65,20
176_Togetic,176,Togetic,55,40,85,80,105,40
177_Natu,177,Natu,40,50,45,70,45,70
178_Xatu,178,Xatu,65,75,70,95,70,95
179_Mareep,179,Mareep,55,40,40,65,45,35
180_Flaaffy,180,Flaaffy,70,55,55,80,60,45
181_Ampharos,181,Ampharos,90,75,85,115,90,55
181_Mega Ampharos,181,Mega Ampharos,90,95,105,165,110,45
182_Bellossom,182,Bellossom,75,80,95,90,100,50
183_Marill,183,Marill,70,20,50,20,50,40
184_Azumarill,184,Azumarill,100,50,80,60,80,50
185_Sudowoodo,185,Sudowoodo,70,100,115,30,65,30
186_Politoed,186,Politoed,90,75,75,90,100,70
187_Hoppip,187,Hoppip,35,35,40,35,55,50
188_Skiploom,188,Skiploom,55,45,50,45,65,80
189_Jumpluff,189,Jumpluff,75,55,70,55,95,110
190_Aipom,190,Aipom,55,70,55,40,55,85
191_Sunkern,191,Sunkern,30,30,30,30,30,30
192_Sunflora,192,Sunflora,75,75,55,105,85,30
193_Yanma,193,Yanma,65,65,45,75,45,95
194_Paldean Wooper,194,Paldean Wooper,55,45,45,25,25,15
194_Wooper,194,Wooper,55,45,45,25,25,15
195_Quagsire,195,Quagsire,95,85,85,65,65,35
196_Espeon,196,Espeon,65,65,60,130,95,110
197_Umbreon,197,Umbreon,95,65,110,60,130,65
198_Murkrow,198,Murkrow,60,85,42,85,42,91
199_Galarian Slowking,199,Galarian Slowking,95,65,80,110,110,30
199_Slowking,199,Slowking,95,75,80,100,110,30
200_Misdreavus,200,Misdreavus,60,60,60,85,85,85
201_Unown,201,Unown,48,72,48,72,48,48
201_Unown A,201,Unown A,48,72,48,72,48,48
201_Unown B,201,Unown B,48,72,48,72,48,48
201_Unown C,201,Unown C,48,72,48,72,48,48
201_Unown D,201,Unown D,48,72,48,72,48,48
201_Unown E,201,Unown E,48,72,48,72,48,48
201_Unown Exclamation,201,Unown Exclamation,48,72,48,72,48,48
201_Unown G,201,Unown G,48,72,48,72,48,48
201_Unown H,201,Unown H,48,72,48,72,48,48
201_Unown I,201,Unown I,48,72,48,72,48,48
201_Unown J,201,Unown J,48,72,48,72,48,48
201_Unown K,201,Unown K,48,72,48,72,48,48
201_Unown L,201,Unown L,48,72,48,72,48,48
201_Unown M,201,Unown M,48,72,48,72,48,48
201_Unown N,201,Unown N,48,72,48,72,48,48
201_Unown O,201,Unown O,48,72,48,72,48,48
201_Unown P,201,Unown P,48,72,48,72,48,48
201_Unown Q,201,Unown Q,48,72,48,72,48,48
201_Unown Question,201,Unown Question,48,72,48,72,48,48
201_Unown R,201,Unown R,48,72,48,72,48,48
201_Unown S,201,Unown S,48,72,48,72,48,48
201_Unown T,201,Unown T,48,72,48,72,48,48
201_Unown U,201,Unown U,48,72,48,72,48,48
201_Unown V,201,Unown V,48,72,48,72,48,48
201_Unown W,201,Unown W,48,72,48,72,48,48
201_Unown X,201,Unown X,48,72,48,72,48,48
201_Unown Y,201,Unown Y,48,72,48,72,48,48
201_Unown Z,201,Unown Z,48,72,48,72,48,48
202_Wobbuffet,202,Wobbuffet,190,33,58,33,58,33
203_Girafarig,203,Girafarig,70,80,65,90,65,85
204_Pineco,204,Pineco,50,65,90,35,35,15
205_Forretress,205,Forretress,75,90,140,60,60,40
206_Dunsparce,206,Dunsparce,100,70,70,65,65,45
207_Gligar,207,Gligar,65,75,105,35,65,85
208_Mega Steelix,208,Mega Steelix,75,125,230,55,95,30
208_Steelix,208,Steelix,75,85,200,55,65,30
209_Snubbull,209,Snubbull,60,80,50,40,40,30
210_Granbull,210,Granbull,90,120,75,60,60,45
211_Hisuian Qwilfish,211,Hisuian Qwilfish,65,95,85,55,55,85
211_Qwilfish,211,Qwilfish,65,95,85,55,55,85
212_Mega Scizor,212,Mega Scizor,70,150,140,65,100,75
212_Scizor,212,Scizor,70,130,100,55,80,65
213_Shuckle,213,Shuckle,20,10,230,10,230,5
214_Heracross,214,Heracross,80,125,75,40,95,85
214_Mega Heracross,214,Mega Heracross,80,185,115,40,105,75
215_Hisuian Sneasel,215,Hisuian Sneasel,55,95,55,35,75,115
215_Sneasel,215,Sneasel,55,95,55,35,75,115
216_Teddiursa,216,Teddiursa,60,80,50,50,50,40
217_Ursaring,217,Ursaring,90,130,75,75,75,55
218_Slugma,218,Slugma,40,40,40,70,40,20
219_Magcargo,219,Magcargo,60,50,120,90,80,30
220_Swinub,220,Swinub,50,50,40,30,30,50
221_Piloswine,221,Piloswine,100,100,80,60,60,50
222_Corsola,222,Corsola,65,55,95,65,95,35
222_Galarian Corsola,222,Galarian Corsola,60,55,100,65,100,30
223_Remoraid,223,Remoraid,35,65,35,65,35,65
224_Octillery,224,Octillery,75,105,75,105,75,45
225_Delibird,225,Delibird,45,55,45,65,45,75
226_Mantine,226,Mantine,85,40,70,80,140,70
227_Skarmory,227,Skarmory,65,80,140,40,70,70
228_Houndour,228,Houndour,45,60,30,80,50,65
229_Houndoom,229,Houndoom,75,90,50,110,80,95
229_Mega Houndoom,229,Mega Houndoom,75,90,90,140,90,115
230_Kingdra,230,Kingdra,75,95,95,95,95,85
231_Phanpy,231,Phanpy,90,60,60,40,40,40
232_Donphan,232,Donphan,90,120,120,60,60,50
233_Porygon2,233,Porygon2,85,80,90,105,95,60
234_Stantler,234,Stantler,73,95,62,85,65,85
235_Smeargle,235,Smeargle,55,20,35,20,45,75
236_Tyrogue,236,Tyrogue,35,35,35,35,35,35
237_Hitmontop,237,Hitmontop,50,95,95,35,110,70
238_Smoochum,238,Smoochum,45,30,15,85,65,65
239_Elekid,239,Elekid,45,63,37,65,55,95
240_Magby,240,Magby,45,75,37,70,55,83
241_Miltank,241,Miltank,95,80,105,40,70,100
242_Blissey,242,Blissey,255,10,10,75,135,55
243_Raikou,243,Raikou,90,85,75,115,100,115
244_Entei,244,Entei,115,115,85,90,75,100
245_Suicune,245,Suicune,100,75,115,90,115,85
246_Larvitar,246,Larvitar,50,64,50,45,50,41
247_Pupitar,247,Pupitar,70,84,70,65,70,51
248_Mega Tyranitar,248,Mega Tyranitar,100,164,150,95,120,71
248_Tyranitar,248,Tyranitar,100,134,110,95,100,61
249_Lugia,249,Lugia,106,90,130,90,154,110
250_Ho-Oh,250,Ho-Oh,106,130,90,110,154,90
251_Celebi,251,Celebi,100,100,100,100,100,100
252_Treecko,252,Treecko,40,45,35,65,55,70
253_Grovyle,253,Grovyle,50,65,45,85,65,95
254_Mega Sceptile,254,Mega Sceptile,70,110,75,145,85,145
254_Sceptile,254,Sceptile,70,85,65,105,85,120
255_Torchic,255,Torchic,45,60,40,70,50,45
256_Combusken,256,Combusken,60,85,60,85,60,55
257_Blaziken,257,Blaziken,80,120,70,110,70,80
257_Mega Blaziken,257,Mega Blaziken,80,160,80,130,80,100
258_Mudkip,258,Mudkip,50,70,50,50,50,40
259_Marshtomp,259,Marshtomp,70,85,70,60,70,50
260_Mega Swampert,260,Mega Swampert,100,150,110,95,110,70
260_Swampert,260,Swampert,100,110,90,85,90,60
261_Poochyena,261,Poochyena,35,55,35,30,30,35
262_Mightyena,262,Mightyena,70,90,70,60,60,70
263_Galarian Zigzagoon,263,Galarian Zigzagoon,38,30,41,30,41,60
263_Zigzagoon,263,Zigzagoon,38,30,41,30,41,60
264_Galarian Linoone,264,Galarian Linoone,78,70,61,50,61,100
264_Linoone,264,Linoone,78,70,61,50,61,100
265_Wurmple,265,Wurmple,45,45,35,20,30,20
266_Silcoon,266,Silcoon,50,35,55,25,25,15
267_Beautifly,267,Beautifly,60,70,50,100,50,65
268_Cascoon,268,Cascoon,50,35,55,25,25,15
269_Dustox,269,Dustox,60,50,70,50,90,65
270_Lotad,270,Lotad,40,30,30,40,50,30
271_Lombre,271,Lombre,60,50,50,60,70,50
272_Ludicolo,272,Ludicolo,80,70,70,90,100,70
273_Seedot,273,Seedot,40,40,50,30,30,30
274_Nuzleaf,274,Nuzleaf,70,70,40,60,40,60
275_Shiftry,275,Shiftry,90,100,60,90,60,80
276_Taillow,276,Taillow,40,55,30,30,30,85
277_Swellow,277,Swellow,60,85,60,75,50,125
278_Wingull,278,Wingull,40,30,30,55,30,85
279_Pelipper,279,Pelipper,60,50,100,95,70,65
280_Ralts,280,Ralts,28,25,25,45,35,40
281_Kirlia,281,Kirlia,38,35,35,65,55,50
282_Gardevoir,282,Gardevoir,68,65,65,125,115,80
282_Mega Gardevoir,282,Mega Gardevoir,68,85,65,165,135,100
283_Surskit,283,Surskit,40,30,32,50,52,65
284_Masquerain,284,Masquerain,70,60,62,100,82,80
285_Shroomish,285,Shroomish,60,40,60,40,60,35
286_Breloom,286,Breloom,60,130,80,60,60,70
287_Slakoth,287,Slakoth,60,60,60,35,35,30
288_Vigoroth,288,Vigoroth,80,80,80,55,55,90
289_Slaking,289,Slaking,150,160,100,95,65,100
290_Nincada,290,Nincada,31,45,90,30,30,40
291_Ninjask,291,Ninjask,61,90,45,50,50,160
292_Shedinja,292,Shedinja,1,90,45,30,30,40
293_Whismur,293,Whismur,64,51,23,51,23,28
294_Loudred,294,Loudred,84,71,43,71,43,48
295_Exploud,295,Exploud,104,91,63,91,73,68
296_Makuhita,296,Makuhita,72,60,30,20,30,25
297_Hariyama,297,Hariyama,144,120,60,40,60,50
298_Azurill,298,Azurill,50,20,40,20,40,20
299_Nosepass,299,Nosepass,30,45,135,45,90,30
300_Skitty,300,Skitty,50,45,45,35,35,50
301_Delcatty,301,Delcatty,70,65,65,55,55,90
302_Mega Sableye,302,Mega Sableye,50,85,125,85,115,20
302_Sableye,302,Sableye,50,75,75,65,65,50
303_Mawile,303,Mawile,50,85,85,55,55,50
303_Mega Mawile,303,Mega Mawile,50,105,125,55,95,50
304_Aron,304,Aron,50,70,100,40,40,30
305_Lairon,305,Lairon,60,90,140,50,50,40
306_Aggron,306,Aggron,70,110,180,60,60,50
306_Mega Aggron,306,Mega Aggron,70,140,230,60,80,50
307_Meditite,307,Meditite,30,40,55,40,55,60
308_Medicham,308,Medicham,60,60,75,60,75,80
308_Mega Medicham,308,Mega Medicham,60,100,85,80,85,100
309_Electrike,309,Electrike,40,45,40,65,40,65
310_Manectric,310,Manectric,70,75,60,105,60,105
310_Mega Manectric,310,Mega Manectric,70,75,80,135,80,135
311_Plusle,311,Plusle,60,50,40,85,75,95
312_Minun,312,Minun,60,40,50,75,85,95
313_Volbeat,313,Volbeat,65,73,75,47,85,85
314_Illumise,314,Illumise,65,47,75,73,85,85
315_Roselia,315,Roselia,50,60,45,100,80,65
316_Gulpin,316,Gulpin,70,43,53,43,53,40
317_Swalot,317,Swalot,100,73,83,73,83,55
318_Carvanha,318,Carvanha,45,90,20,65,20,65
319_Mega Sharpedo,319,Mega Sharpedo,70,140,70,110,65,105
319_Sharpedo,319,Sharpedo,70,120,40,95,40,95
320_Wailmer,320,Wailmer,130,70,35,70,35,60
321_Wailord,321,Wailord,170,90,45,90,45,60
322_Numel,322,Numel,60,60,40,65,45,35
323_Camerupt,323,Camerupt,70,100,70,105,75,40
323_Mega Camerupt,323,Mega Camerupt,70,120,100,145,105,20
324_Torkoal,324,Torkoal,70,85,140,85,70,20
325_Spoink,325,Spoink,60,25,35,70,80,60
326_Grumpig,326,Grumpig,80,45,65,90,110,80
327_Spinda,327,Spinda,60,60,60,60,60,60
328_Trapinch,328,Trapinch,45,100,45,45,45,10
329_Vibrava,329,Vibrava,50,70,50,50,50,70
330_Flygon,330,Flygon,80,100,80,80,80,100
331_Cacnea,331,Cacnea,50,85,40,85,40,35
332_Cacturne,332,Cacturne,70,115,60,115,60,55
333_Swablu,333,Swablu,45,40,60,40,75,50
334_Altaria,334,Altaria,75,70,90,70,105,80
334_Mega Altaria,334,Mega Altaria,75,110,110,110,105,80
335_Zangoose,335,Zangoose,73,115,60,60,60,90
336_Seviper,336,Seviper,73,100,60,100,60,65
337_Lunatone,337,Lunatone,90,55,65,95,85,70
338_Solrock,338,Solrock,90,95,85,55,65,70
339_Barboach,339,Barboach,50,48,43,46,41,60
340_Whiscash,340,Whiscash,110,78,73,76,71,60
341_Corphish,341,Corphish,43,80,65,50,35,35
342_Crawdaunt,342,Crawdaunt,63,120,85,90,55,55
343_Baltoy,343,Baltoy,40,40,55,40,70,55
344_Claydol,344,Claydol,60,70,105,70,120,75
345_Lileep,345,Lileep,66,41,77,61,87,23
346_Cradily,346,Cradily,86,81,97,81,107,43
347_Anorith,347,Anorith,45,95,50,40,50,75
348_Armaldo,348,Armaldo,75,125,100,70,80,45
349_Feebas,349,Feebas,20,15,20,10,55,80
350_Milotic,350,Milotic,95,60,79,100,125,81
351_Castform,351,Castform,70,70,70,70,70,70
351_Rainy Castform,351,Rainy Castform,70,70,70,70,70,70
351_Snowy Castform,351,Snowy Castform,70,70,70,70,70,70
351_Sunny Castform,351,Sunny Castform,70,70,70,70,70,70
352_Kecleon,352,Kecleon,60,90,70,60,120,40
353_Shuppet,353,Shuppet,44,75,35,63,33,45
354_Banette,354,Banette,64,115,65,83,63,65
354_Mega Banette,354,Mega Banette,64,165,75,93,83,75
355_Duskull,355,Duskull,20,40,90,30,90,25
356_Dusclops,356,Dusclops,40,70,130,60,130,25
357_Tropius,357,Tropius,99,68,83,72,87,51
