name,cdn_number,emoji
Kangaskhan,115,<:__:1477315882580705451>
Horsea,116,<:__:1477315892596445225>
Seadra,117,<:__:1477315902012915885>
Goldeen,118,<:__:1477315913610170520>
Seaking,119,<:__:1477315926192816382>
Staryu,120,<:__:1477315936221532383>
Starmie,121,<:__:1477315947478913075>
Mr. Mime,122,<:__:1477315959298588762>
Scyther,123,<:__:1477315970740654231>
Jynx,124,<:__:1477315982681833614>
Electabuzz,125,<:__:1477315994505449663>
Magmar,126,<:__:1477316006178197624>
Pinsir,127,<:__:1477316018094342286>
Tauros,128,<:__:1477316030173806593>
Magikarp,129,<:__:1477316041666461707>
Gyarados,130,<:__:1477316058284036277>
Lapras,131,<:__:1477316068283515026>
Ditto,132,<:__:1477316080849518825>
Eevee,133,<:__:1477316092031402076>
Vaporeon,134,<:__:1477316103037517936>
Jolteon,135,<:__:1477316115083431997>
Flareon,136,<:__:1477316127099981854>
Porygon,137,<:__:1477316137942253730>
Omanyte,138,<:__:1477316148382007296>
Omastar,139,<:__:1477316160721784915>
Kabuto,140,<:__:1477316172973211729>
Kabutops,141,<:__:1477316184402821141>
Aerodactyl,142,<:__:1477316195697950982>
Snorlax,143,<:__:1477316207773483069>
Articuno,144,<:__:1477316218955370739>
Zapdos,145,<:__:1477316229311238145>
Moltres,146,<:__:1477316239557660765>
Dratini,147,<:__:1477316641007337614>
Dragonair,148,<:__:1477316651144712384>
Dragonite,149,<:__:1477316664264495175>
Mewtwo,150,<:__:1477316675639705813>
Mew,151,<:__:1477316689292169368>
Chikorita,152,<:__:1477316699966672967>
Bayleef,153,<:__:1477316711194820708>
Meganium,154,<:__:1477316722351407124>
Cyndaquil,155,<:__:1477316733550333973>
Quilava,156,<:__:1477316744690401403>
Typhlosion,157,<:__:1477316756489113690>
Totodile,158,<:__:1477316767998283858>
Croconaw,159,<:__:1477316779738005635>
Feraligatr,160,<:__:1477316789565263882>
Sentret,161,<:__:1477316800185106545>
Furret,162,<:__:1477316811719446724>
Hoothoot,163,<:__:1477316823891447870>
Noctowl,164,<:__:1477316834020692038>
Ledyba,165,<:__:1477316843680170006>
Ledian,166,<:__:1477316855021568084>
Spinarak,167,<:__:1477316865448742932>
Ariados,168,<:__:1477316880975790271>
Crobat,169,<:__:1477316891537178806>
Chinchou,170,<:__:1477316902815666216>
Lanturn,171,<:__:1477316914257592400>
Pichu,172,<:__:1477316926664343683>
Cleffa,173,<:__:1477316940153225226>
Igglybuff,174,<:__:1477316952169906217>
Togepi,175,<:__:1477316963587068006>
Togetic,176,<:__:1477316980842299482>
Natu,177,<:__:1477316992905248940>
Xatu,178,<:__:1477317002929639496>
Mareep,179,<:__:1477317014614839369>
Flaaffy,180,<:__:1477317026124005417>
Ampharos,181,<:__:1477317037272596582>
Bellossom,182,<:__:1477317049154928731>
Marill,183,<:__:1477317059208675556>
Azumarill,184,<:__:1477317077491650673>
Sudowoodo,185,<:__:1477317091211215140>
Politoed,186,<:__:1477317102087045131>
Hoppip,187,<:__:1477317112270819451>
Skiploom,188,<:__:1477317124417523803>
Jumpluff,189,<:__:1477317136387936367>
Aipom,190,<:__:1477317148102623252>
Sunkern,191,<:__:1477317160039747654>
Sunflora,192,<:__:1477317172622790696>
Yanma,193,<:__:1477317183964053627>
Wooper,194,<:__:1477317195003334738>
Quagsire,195,<:__:1477317205455798423>
Espeon,196,<:__:1477318494482596104>
Umbreon,197,<:__:1477318505635512481>
Murkrow,198,<:__:1477318516863537244>
Slowking,199,<:__:1477318528406262033>
Misdreavus,200,<:__:1477318540255035412>
Unown,201,<:__:1477318550770155591>
Wobbuffet,202,<:__:1477318562552221858>
Girafarig,203,<:__:1477318573553745961>
Pineco,204,<:__:1477318584261939332>
Forretress,205,<:__:1477318596463038499>
Dunsparce,206,<:__:1477318607296925757>
Gligar,207,<:__:1477318619758071830>
Steelix,208,<:__:1477318630143299800>
Snubbull,209,<:__:1477318639920218236>
Granbull,210,<:__:1477318651446034565>
Qwilfish,211,<:__:1477318662171136030>
Scizor,212,<:__:1477318675211227216>
Shuckle,213,<:__:1477318687080845342>
Heracross,214,<:__:1477318696853836077>
Sneasel,215,<:__:1477318708119605371>
Teddiursa,216,<:__:1477318719213539509>
Ursaring,217,<:__:1477318732597690368>
Slugma,218,<:__:1477318744094019648>
Magcargo,219,<:__:1477318756425404670>
Swinub,220,<:__:1477318766533672980>
Piloswine,221,<:__:1477318778411814972>
Corsola,222,<:__:1477318789388566700>
Remoraid,223,<:__:1477318799416885248>
Octillery,224,<:__:1477318809416368394>
Delibird,225,<:__:1477318819730034808>
Mantine,226,<:__:1477318830127579148>
Skarmory,227,<:__:1477318841255067812>
Houndour,228,<:__:1477318851451555840>
Houndoom,229,<:__:1477318861828132985>
Kingdra,230,<:__:1477318873572442273>
Phanpy,231,<:__:1477318885396185189>
Donphan,232,<:__:1477318898222104669>
Porygon2,233,<:__:1477318909844525159>
Stantler,234,<:__:1477318921857011753>
Smeargle,235,<:__:1477318932410142796>
Tyrogue,236,<:__:1477318944389074988>
Hitmontop,237,<:__:1477318954702606420>
Smoochum,238,<:__:1477318967415803974>
Elekid,239,<:__:1477318977490522324>
Magby,240,<:__:1477318989314003094>
Miltank,241,<:__:1477319000819236875>
Blissey,242,<:__:1477319011963375737>
Raikou,243,<:__:1477319023698903243>
Entei,244,<:__:1477319035627507744>
Suicune,245,<:__:1477319474594975746>
Larvitar,246,<:__:1477319486527897811>
Pupitar,247,<:__:1477319499366666416>
Tyranitar,248,<:__:1477319511307849829>
Lugia,249,<:__:1477319522451984607>
Ho-Oh,250,<:__:1477319534548619326>
Celebi,251,<:__:1477319545885560952>
Treecko,252,<:__:1477319555960537198>
Grovyle,253,<:__:1477319567125512283>
Sceptile,254,<:__:1477319578211188950>
Torchic,255,<:__:1477319589041012999>
Combusken,256,<:__:1477319603280674819>
Blaziken,257,<:__:1477319615720718397>
Mudkip,258,<:__:1477319626210807993>
Marshtomp,259,<:__:1477319636558151783>
Swampert,260,<:__:1477319648352665611>
Poochyena,261,<:__:1477319667113791610>
Mightyena,262,<:__:1477319677750411265>
Zigzagoon,263,<:__:1477319689452650658>
Linoone,264,<:__:1477319700110250165>
Wurmple,265,<:__:1477319711606702322>
Silcoon,266,<:__:1477319725418549318>
Beautifly,267,<:__:1477319737838145661>
Cascoon,268,<:__:1477319749699633308>
Dustox,269,<:__:1477319760503902218>
Lotad,270,<:__:1477319770696323204>
Lombre,271,<:__:1477319783178305667>
Ludicolo,272,<:__:1477319795350438030>
Seedot,273,<:__:1477319805240606975>
Nuzleaf,274,<:__:1477319817433452797>
Shiftry,275,<:__:1477319831148822780>
Taillow,276,<:__:1477319843240874027>
Swellow,277,<:__:1477319855278391537>
Wingull,278,<:__:1477319865558761502>
Pelipper,279,<:__:1477319875830612140>
Ralts,280,<:__:1477319887364952194>
Kirlia,281,<:__:1477319899306000635>
Gardevoir,282,<:__:1477319909930438717>
Surskit,283,<:__:1477319919874867210>
Masquerain,284,<:__:1477319930880725195>
Shroomish,285,<:__:1477319942473777357>
Breloom,286,<:__:1477319952125001902>
Slakoth,287,<:__:1477319963634176091>
Vigoroth,288,<:__:1477319973348184238>
Slaking,289,<:__:1477319985868308713>
Nincada,290,<:__:1477319996374908928>
Ninjask,291,<:__:1477320006483185685>
Shedinja,292,<:__:1477320016029552897>
Whismur,293,<:__:1477320033251098806>
Loudred,294,<:__:1477320138507157655>
Exploud,295,<:__:1477320149597159620>
Makuhita,296,<:__:1477320162884583518>
Hariyama,297,<:__:1477320175140339854>
Azurill,298,<:__:1477320188230897695>
Nosepass,299,<:__:1477320201203879989>
Skitty,300,<:__:1477320212918309025>
Delcatty,301,<:__:1477320224322752605>
Sableye,302,<:__:1477320236570251285>
Mawile,303,<:__:1477320246372204787>
Aron,304,<:__:1477320263187042517>
Lairon,305,<:__:1477320276222939136>
Aggron,306,<:__:1477320290039107751>
Meditite,307,<:__:1477320300881383606>
Medicham,308,<:__:1477320310872342659>
Electrike,309,<:__:1477320322486374522>
Manectric,310,<:__:1477320333408076020>
Plusle,311,<:__:1477320344170790993>
Minun,312,<:__:1477320355910652088>
Volbeat,313,<:__:1477320368736698379>
Illumise,314,<:__:1477320378748768307>
Roselia,315,<:__:1477320390299877497>
Gulpin,316,<:__:1477320400701751348>
Swalot,317,<:__:1477320412244476105>
Carvanha,318,<:__:1477320421941579786>
Sharpedo,319,<:__:1477320431508918434>
Wailmer,320,<:__:1477320441537495151>
Wailord,321,<:__:1477320451121217549>
Numel,322,<:__:1477320463532167249>
Camerupt,323,<:__:1477320474534084809>
Torkoal,324,<:__:1477320488794456064>
Spoink,325,<:__:1477320499926139015>
Grumpig,326,<:__:1477320513566277867>
Spinda,327,<:__:1477320526065307829>
Trapinch,328,<:__:1477320535632511006>
Vibrava,329,<:__:1477320547233955972>
Flygon,330,<:__:1477320559477133504>
Cacnea,331,<:__:1477320571501936791>
Cacturne,332,<:__:1477320583061573729>
Swablu,333,<:__:1477320597045379134>
Altaria,334,<:__:1477320611184509009>
Zangoose,335,<:__:1477320623305916507>
Seviper,336,<:__:1477320636102611056>
Lunatone,337,<:__:1477320646240243765>
Solrock,338,<:__:1477320656205910284>
Barboach,339,<:__:1477320666712637542>
Whiscash,340,<:__:1477320678268211302>
Corphish,341,<:__:1477320690674831360>
Crawdaunt,342,<:__:1477320704683806811>
Baltoy,343,<:__:1477320845813616764>
Claydol,344,<:__:1477320857016860804>
Lileep,345,<:__:1477320867925987348>
Cradily,346,<:__:1477320879867170977>
Anorith,347,<:__:1477320891514884271>
Armaldo,348,<:__:1477320903946670130>
Feebas,349,<:__:1477320916013944983>
Milotic,350,<:__:1477320927975837839>
Castform,351,<:__:1477320939338203156>
Kecleon,352,<:__:1477320950243524750>
Shuppet,353,<:__:1477320961958219836>
Banette,354,<:__:1477320973786288319>
Duskull,355,<:__:1477320987295875214>
Dusclops,356,<:__:1477320999010832476>
Tropius,357,<:__:1477321011870433411>
Chimecho,358,<:__:1477321022825828583>
Absol,359,<:__:1477321032670117978>
Wynaut,360,<:__:1477321044611174421>
Snorunt,361,<:__:1477321057336693030>
Glalie,362,<:__:1477321069248381133>
Spheal,363,<:__:1477321081399541860>
Sealeo,364,<:__:1477321092979888219>
Walrein,365,<:__:1477321105432907796>
Clamperl,366,<:__:1477321119705862258>
Huntail,367,<:__:1477321131185799349>
Gorebyss,368,<:__:1477321142204240094>
Relicanth,369,<:__:1477321153872793662>
Luvdisc,370,<:__:1477321165004345440>
Bagon,371,<:__:1477321176358584451>
Shelgon,372,<:__:1477321195190878239>
Salamence,373,<:__:1477321207702618162>
Beldum,374,<:__:1477321217659900029>
Metang,375,<:__:1477321232436170752>
Metagross,376,<:__:1477321243073187963>
Regirock,377,<:__:1477321261045518426>
Regice,378,<:__:1477321272315871252>
Registeel,379,<:__:1477321282658898041>
Latias,380,<:__:1477321294747013122>
Latios,381,<:__:1477321306310447124>
Kyogre,382,<:__:1477321321703542987>
Groudon,383,<:__:1477321332172652706>
Rayquaza,384,<:__:1477321345053495330>
Jirachi,385,<:__:1477321356373921922>
Deoxys,386,<:__:1477321366108635148>
Turtwig,387,<:__:1477321377739440199>
Grotle,388,<:__:1477321389534085234>
Torterra,389,<:__:1477321403538866340>
Chimchar,390,<:__:1477321413831688322>
Monferno,391,<:__:1477321423453163697>
Infernape,392,<:__:1477321481674555412>
Piplup,393,<:__:1477321494056009989>
Prinplup,394,<:__:1477321505435156682>
Empoleon,395,<:__:1477321517271613551>
Starly,396,<:__:1477321528889835694>
Staravia,397,<:__:1477321540298346577>
Staraptor,398,<:__:1477321552058912941>
Bidoof,399,<:__:1477321563828260866>
Bibarel,400,<:__:1477321576205648025>
Kricketot,401,<:__:1477321585785311322>
Kricketune,402,<:__:1477321595503644734>
Shinx,403,<:__:1477321605750456342>
Luxio,404,<:__:1477321618102423562>
Luxray,405,<:__:1477321628554891374>
Budew,406,<:__:1477321642383511602>
Roserade,407,<:__:1477321654269906994>
Cranidos,408,<:__:1477321665334739035>
Rampardos,409,<:__:1477321676222890229>
Shieldon,410,<:__:1477321687090462891>
Bastiodon,411,<:__:1477321705880817705>
Burmy,412,<:__:1477321718300147763>
Wormadam,413,<:__:1477321728525865000>
Mothim,414,<:__:1477321739644964957>
Combee,415,<:__:1477321751850651880>
Vespiquen,416,<:__:1477321764294889552>
Pachirisu,417,<:__:1477321774130532464>
Buizel,418,<:__:1477321783941140522>
Floatzel,419,<:__:1477321795895037955>
Cherubi,420,<:__:1477321807496483050>
Cherrim,421,<:__:1477321819009585206>
Shellos,422,<:__:1477321837313786029>
Gastrodon,423,<:__:1477321850890621119>
Ambipom,424,<:__:1477321862970343464>
Drifloon,425,<:__:1477321874336776365>
Drifblim,426,<:__:1477321886282027120>
Buneary,427,<:__:1477321895907950795>
Lopunny,428,<:__:1477321906213486754>
Mismagius,429,<:__:1477321917127196673>
Honchkrow,430,<:__:1477321929399603390>
Glameow,431,<:__:1477321947342704741>
Purugly,432,<:__:1477321959334350919>
Chingling,433,<:__:1477321971271205066>
Stunky,434,<:__:1477321982256353394>
Skuntank,435,<:__:1477321995191455845>
Bronzor,436,<:__:1477322005337342184>
Bronzong,437,<:__:1477322017425457336>
Bonsly,438,<:__:1477322028758335601>
Mime Jr.,439,<:__:1477322040737398885>
Happiny,440,<:__:1477322051952971786>
Chatot,441,<:__:1477322452492357752>
Spiritomb,442,<:__:1477322465125601423>
Gible,443,<:__:1477322475468619967>
Gabite,444,<:__:1477322487183184053>
Garchomp,445,<:__:1477322500042920058>
Munchlax,446,<:__:1477322511875309780>
Riolu,447,<:__:1477322523925549117>
Lucario,448,<:__:1477322535518474240>
Hippopotas,449,<:__:1477322547505660016>
Hippowdon,450,<:__:1477322559547506831>
Skorupi,451,<:__:1477322572139073677>
Drapion,452,<:__:1477322583778267262>
Croagunk,453,<:__:1477322596558176378>
Toxicroak,454,<:__:1477322606674968669>
Carnivine,455,<:__:1477322618351911145>
Finneon,456,<:__:1477322629873668197>
Lumineon,457,<:__:1477322641571577949>
Mantyke,458,<:__:1477322651562152127>
Snover,459,<:__:1477322662962532453>
Abomasnow,460,<:__:1477322677701050420>
Weavile,461,<:__:1477322694365151252>
Magnezone,462,<:__:1477322705958342717>
Lickilicky,463,<:__:1477322718289461258>
Rhyperior,464,<:__:1477322730880630866>
Tangrowth,465,<:__:1477322743509684355>
Electivire,466,<:__:1477322755438415943>
Magmortar,467,<:__:1477322768633565369>
Togekiss,468,<:__:1477322779916369980>
Yanmega,469,<:__:1477322797381587136>
Leafeon,470,<:__:1477322809939066912>
Glaceon,471,<:__:1477322820936794162>
Gliscor,472,<:__:1477322833133572236>
Mamoswine,473,<:__:1477322845154574438>
Porygon-Z,474,<:__:1477322856734920869>
Gallade,475,<:__:1477322868525109429>
Probopass,476,<:__:1477322881384845383>
Dusknoir,477,<:__:1477322893326029003>
Froslass,478,<:__:1477322904906764331>
Rotom,479,<:__:1477322916113809520>
Uxie,480,<:__:1477322928549793944>
Mesprit,481,<:__:1477322940826517524>
Azelf,482,<:__:1477322952427962439>
Dialga,483,<:__:1477322964683718819>
Palkia,484,<:__:1477322977484869713>
Heatran,485,<:__:1477322989442830497>
Regigigas,486,<:__:1477323001673420883>
Giratina,487,<:__:1477323015942443109>
Cresselia,488,<:__:1477323027460128950>
Phione,489,<:__:1477323039195529380>
Manaphy,490,<:__:1477323105306411069>
Darkrai,491,<:__:1477323115234197514>
Shaymin,492,<:__:1477323127251013662>
Arceus,493,<:__:1477323139091402762>
Victini,494,<:__:1477323149812170762>
Snivy,495,<:__:1477323159614001304>
Servine,496,<:__:1477323171500785766>
Serperior,497,<:__:1477323184016588953>
Tepig,498,<:__:1477323197111336986>
Pignite,499,<:__:1477323208762855426>
Emboar,500,<:__:1477323221383647293>
Oshawott,501,<:__:1477323233014317159>
Dewott,502,<:__:1477323244431478923>
Samurott,503,<:__:1477323256695361596>
Patrat,504,<:__:1477323268754112675>
Watchog,505,<:__:1477323280879718594>
Lillipup,506,<:__:1477323291273199637>
Herdier,507,<:__:1477323303076233236>
Stoutland,508,<:__:1477323314887131280>
Purrloin,509,<:__:1477323328099188937>
Liepard,510,<:__:1477323338815639654>
Pansage,511,<:__:1477323350400569375>
Simisage,512,<:__:1477323361699762210>
Pansear,513,<:__:1477323375117602959>
Simisear,514,<:__:1477323388732051600>
Panpour,515,<:__:1477323401113763893>
Simipour,516,<:__:1477323413835092188>
Munna,517,<:__:1477323425016975451>
Musharna,518,<:__:1477323437344162035>
Pidove,519,<:__:1477323453026799720>
Tranquill,520,<:__:1477323467014803539>
Unfezant,521,<:__:1477323479018897498>
Blitzle,522,<:__:1477323488954941561>
Zebstrika,523,<:__:1477323500132892735>
Roggenrola,524,<:__:1477323512506220646>
Boldore,525,<:__:1477323525562961941>
Gigalith,526,<:__:1477323538548392058>
Woobat,527,<:__:1477323550049173658>
Swoobat,528,<:__:1477323562036629627>
Drilbur,529,<:__:1477323573906636963>
Excadrill,530,<:__:1477323584807505920>
Audino,531,<:__:1477323596857741394>
Timburr,532,<:__:1477323610069925919>
Gurdurr,533,<:__:1477323623659208837>
Conkeldurr,534,<:__:1477323637098020864>
Tympole,535,<:__:1477323649018106101>
Palpitoad,536,<:__:1477323661370327253>
Seismitoad,537,<:__:1477323673571688593>
Throh,538,<:__:1477323686406131732>
Sawk,539,<:__:1477323752969605142>
Sewaddle,540,<:__:1477323763774259300>
Swadloon,541,<:__:1477323774742364295>
Leavanny,542,<:__:1477323784607371335>
Venipede,543,<:__:1477323797190279218>
Whirlipede,544,<:__:1477323810326974536>
Scolipede,545,<:__:1477323822553108654>
Cottonee,546,<:__:1477323834343424050>
Whimsicott,547,<:__:1477323847270268979>
Petilil,548,<:__:1477323857030418463>
Lilligant,549,<:__:1477323868124348610>
Basculin,550,<:__:1477323880426115072>
Sandile,551,<:__:1477323893902409930>
Krokorok,552,<:__:1477323905860374581>
Krookodile,553,<:__:1477323918569373939>
Darumaka,554,<:__:1477323932356055286>
Darmanitan,555,<:__:1477323943210913802>
Maractus,556,<:__:1477323956934676480>
Dwebble,557,<:__:1477323970855571516>
Crustle,558,<:__:1477323982842757293>
Scraggy,559,<:__:1477323994524029001>
Scrafty,560,<:__:1477324006678991028>
Sigilyph,561,<:__:1477324018196676620>
Yamask,562,<:__:1477324031819649064>
Cofagrigus,563,<:__:1477324043018567892>
Tirtouga,564,<:__:1477324054661959681>
Carracosta,565,<:__:1477324067068444883>
Archen,566,<:__:1477324078586269727>
Archeops,567,<:__:1477324092146323536>
Trubbish,568,<:__:1477324103181533461>
Garbodor,569,<:__:1477324115768770603>
Zorua,570,<:__:1477324127651102883>
Zoroark,571,<:__:1477324139680239699>
Minccino,572,<:__:1477324151877402804>
Cinccino,573,<:__:1477324163671916628>
Gothita,574,<:__:1477324177437360342>
Gothorita,575,<:__:1477324189491794053>
Gothitelle,576,<:__:1477324201114472509>
Solosis,577,<:__:1477324215819440140>
Duosion,578,<:__:1477324230294245407>
Reuniclus,579,<:__:1477324241438249233>
Ducklett,580,<:__:1477324251437469950>
Swanna,581,<:__:1477324262548308209>
Vanillite,582,<:__:1477324274196021351>
Vanillish,583,<:__:1477324287861067916>
Vanilluxe,584,<:__:1477324301542756474>
Deerling,585,<:__:1477324313563762878>
Sawsbuck,586,<:__:1477324325286576251>
Emolga,587,<:__:1477324336821174422>
Karrablast,588,<:__:1477324347382173851>
Escavalier,589,<:__:1477324358748733552>
Foongus,590,<:__:1477324371273187470>
Amoonguss,591,<:__:1477324383369297994>
Frillish,592,<:__:1477324395813798050>
Jellicent,593,<:__:1477324408447045894>
Alomomola,594,<:__:1477324420170252369>
Joltik,595,<:__:1477324430555348993>
Galvantula,596,<:__:1477324442911903837>
Ferroseed,597,<:__:1477324453146001428>
Ferrothorn,598,<:__:1477324464487272600>
Klink,599,<:__:1477324475602178073>
Klang,600,<:__:1477324488684081306>
Klinklang,601,<:__:1477324502860959744>
Tynamo,602,<:__:1477324514495824046>
Eelektrik,603,<:__:1477324527112290457>
Eelektross,604,<:__:1477324538621464730>
Elgyem,605,<:__:1477324550445207632>
Beheeyem,606,<:__:1477324560591491153>
Litwick,607,<:__:1477324571630633165>
Lampent,608,<:__:1477324582124785820>
Chandelure,609,<:__:1477324594036867214>
Axew,610,<:__:1477324604858040320>
Fraxure,611,<:__:1477324616736313458>
Haxorus,612,<:__:1477324628618903716>
Cubchoo,613,<:__:1477324640434127081>
Beartic,614,<:__:1477324652618584166>
Cryogonal,615,<:__:1477324666434621501>
Shelmet,616,<:__:1477324679252410368>
Accelgor,617,<:__:1477324691248124085>
Stunfisk,618,<:__:1477324702656626861>
Mienfoo,619,<:__:1477324714836758700>
Mienshao,620,<:__:1477324726417363094>
Druddigon,621,<:__:1477324740204036267>
Golett,622,<:__:1477324752715645109>
Golurk,623,<:__:1477324765487169546>
Pawniard,624,<:__:1477324780163174401>
Bisharp,625,<:__:1477324790405664874>
Bouffalant,626,<:__:1477324802460090641>
Rufflet,627,<:__:1477324813776453662>
Braviary,628,<:__:1477324825843470356>
Vullaby,629,<:__:1477324837809553521>
Mandibuzz,630,<:__:1477324850409509096>
Heatmor,631,<:__:1477324863432822945>
Durant,632,<:__:1477324874820227142>
Deino,633,<:__:1477324887365255332>
Zweilous,634,<:__:1477324901324161045>
Hydreigon,635,<:__:1477324913810604226>
Larvesta,636,<:__:1477324926720413730>
Volcarona,637,<:__:1477324940259754146>
Cobalion,638,<:__:1477324951253024920>
Terrakion,639,<:__:1477324964607819910>
Virizion,640,<:__:1477324976192487695>
Tornadus,641,<:__:1477324991505633413>
Thundurus,642,<:__:1477325003337896010>
Reshiram,643,<:__:1477325015790653675>
Zekrom,644,<:__:1477325028981739643>
Landorus,645,<:__:1477325042034413628>
Kyurem,646,<:__:1477325052277162025>
Keldeo,647,<:__:1477325062733299804>
Meloetta,648,<:__:1477325073693282507>
Genesect,649,<:__:1477325085701312685>
Chespin,650,<:__:1477325097944481984>
Quilladin,651,<:__:1477325109743063176>
Chesnaught,652,<:__:1477325122439217303>
Fennekin,653,<:__:1477325133881278475>
Braixen,654,<:__:1477325145533186200>
Delphox,655,<:__:1477325157004480645>
Froakie,656,<:__:1477325169566548102>
Frogadier,657,<:__:1477325179662237920>
Greninja,658,<:__:1477325189053288448>
Bunnelby,659,<:__:1477325200470179962>
Diggersby,660,<:__:1477325216307744848>
Fletchling,661,<:__:1477325227225514035>
Fletchinder,662,<:__:1477325239506571445>
Talonflame,663,<:__:1477325251523117107>
Scatterbug,664,<:__:1477325261484720148>
Spewpa,665,<:__:1477325272176001045>
Vivillon,666,<:__:1477325282317828226>
Litleo,667,<:__:1477325293638389802>
Pyroar,668,<:__:1477325306372165793>
Flabébé,669,<:__:1477325316329439332>
Floette,670,<:__:1477325326068482310>
Florges,671,<:__:1477325338194346085>
Skiddo,672,<:__:1477325350659690517>
Gogoat,673,<:__:1477325362416451848>
Pancham,674,<:__:1477325372986233033>
