Number,Name,Form
264,Linoone,Galarian Linoone
265,Wurmple,
266,Silcoon,
267,Beautifly,
268,Cascoon,
269,Dustox,
270,Lotad,
271,Lombre,
272,Ludicolo,
273,Seedot,
274,Nuzleaf,
275,Shiftry,
276,Taillow,
277,Swellow,
278,Wingull,
279,Pelipper,
280,Ralts,
281,Kirlia,
282,Gardevoir,
282,Gardevoir,Mega Gardevoir
283,Surskit,
284,Masquerain,
285,Shroomish,
286,Breloom,
287,Slakoth,
288,Vigoroth,
289,Slaking,
290,Nincada,
291,Ninjask,
292,Shedinja,
293,Whismur,
294,Loudred,
295,Exploud,
296,Makuhita,
297,Hariyama,
298,Azurill,
299,Nosepass,
300,Skitty,
301,Delcatty,
302,Sableye,
302,Sableye,Mega Sableye
303,Mawile,
303,Mawile,Mega Mawile
304,Aron,
305,Lairon,
306,Aggron,
306,Aggron,Mega Aggron
307,Meditite,
308,Medicham,
308,Medicham,Mega Medicham
309,Electrike,
310,Manectric,
310,Manectric,Mega Manectric
311,Plusle,
312,Minun,
313,Volbeat,
314,Illumise,
315,Roselia,
316,Gulpin,
317,Swalot,
318,Carvanha,
319,Sharpedo,
319,Sharpedo,Mega Sharpedo
320,Wailmer,
321,Wailord,
322,Numel,
323,Camerupt,
323,Camerupt,Mega Camerupt
324,Torkoal,
325,Spoink,
326,Grumpig,
327,Spinda,
328,Trapinch,
329,Vibrava,
330,Flygon,
331,Cacnea,
332,Cacturne,
333,Swablu,
334,Altaria,
334,Altaria,Mega Altaria
335,Zangoose,
336,Seviper,
337,Lunatone,
338,Solrock,
339,Barboach,
340,Whiscash,
341,Corphish,
342,Crawdaunt,
343,Baltoy,
344,Claydol,
345,Lileep,
346,Cradily,
347,Anorith,
348,Armaldo,
349,Feebas,
350,Milotic,
351,Castform,
351,Castform,Sunny Castform
351,Castform,Rainy Castform
351,Castform,Snowy Castform
352,Kecleon,
353,Shuppet,
354,Banette,
354,Banette,Mega Banette
355,Duskull,
356,Dusclops,
357,Tropius,
358,Chimecho,
359,Absol,
359,Absol,Mega Absol
360,Wynaut,
361,Snorunt,
362,Glalie,
362,Glalie,Mega Glalie
363,Spheal,
364,Sealeo,
365,Walrein,
366,Clamperl,
367,Huntail,
368,Gorebyss,
369,Relicanth,
370,Luvdisc,
371,Bagon,
372,Shelgon,
373,Salamence,
373,Salamence,Mega Salamence
374,Beldum,
375,Metang,
376,Metagross,
376,Metagross,Mega Metagross
377,Regirock,
378,Regice,
379,Registeel,
380,Latias,
380,Latias,Mega Latias
381,Latios,
381,Latios,Mega Latios
382,Kyogre,
382,Kyogre,Primal Kyogre
383,Groudon,
383,Groudon,Primal Groudon
384,Rayquaza,
384,Rayquaza,Mega Rayquaza
385,Jirachi,
386,Deoxys,
386,Deoxys,Speed Deoxys
386,Deoxys,Attack Deoxys
386,Deoxys,Defense Deoxys
386,Speed Deoxys,Speed Deoxys
387,Turtwig,
388,Grotle,
389,Torterra,
390,Chimchar,
391,Monferno,
392,Infernape,
393,Piplup,
394,Prinplup,
395,Empoleon,
396,Starly,
397,Staravia,
398,Staraptor,
399,Bidoof,
400,Bibarel,
401,Kricketot,
402,Kricketune,
403,Shinx,
404,Luxio,
405,Luxray,
406,Budew,
407,Roserade,
408,Cranidos,
409,Rampardos,
410,Shieldon,
411,Bastiodon,
412,Burmy,
412,Burmy,Sandy Burmy
412,Burmy,Trash Burmy
413,Wormadam,
413,Wormadam,Sandy Wormadam
413,Wormadam,Trash Wormadam
414,Mothim,
415,Combee,
416,Vespiquen,
417,Pachirisu,
418,Buizel,
419,Floatzel,
420,Cherubi,
421,Cherrim,
421,Cherrim,Sunshine Cherrim
422,Shellos,
422,Shellos,East Sea Shellos
423,Gastrodon,
423,Gastrodon,East Sea Gastrodon
424,Ambipom,
425,Drifloon,
426,Drifblim,
427,Buneary,
428,Lopunny,
428,Lopunny,Mega Lopunny
429,Mismagius,
430,Honchkrow,
431,Glameow,
432,Purugly,
433,Chingling,
434,Stunky,
435,Skuntank,
436,Bronzor,
437,Bronzong,
438,Bonsly,
439,Mime Jr.,
440,Happiny,
441,Chatot,
442,Spiritomb,
443,Gible,
444,Gabite,
445,Garchomp,
445,Garchomp,Mega Garchomp
446,Munchlax,
447,Riolu,
448,Lucario,
448,Lucario,Mega Lucario
449,Hippopotas,
450,Hippowdon,
451,Skorupi,
452,Drapion,
453,Croagunk,
454,Toxicroak,
455,Carnivine,
456,Finneon,
457,Lumineon,
458,Mantyke,
459,Snover,
460,Abomasnow,
460,Abomasnow,Mega Abomasnow
461,Weavile,
462,Magnezone,
463,Lickilicky,
464,Rhyperior,
465,Tangrowth,
466,Electivire,
467,Magmortar,
468,Togekiss,
469,Yanmega,
470,Leafeon,
471,Glaceon,
472,Gliscor,
473,Mamoswine,
474,Porygon-Z,
475,Gallade,
475,Gallade,Mega Gallade
476,Probopass,
477,Dusknoir,
478,Froslass,
479,Rotom,
479,Rotom,Heat Rotom
479,Rotom,Wash Rotom
479,Rotom,Frost Rotom
479,Rotom,Fan Rotom
479,Rotom,Mow Rotom
479,Rotom,Rotom Pokédex
479,Rotom,Rotom Phone
479,Rotom,Rotom Drone
480,Uxie,
481,Mesprit,
482,Azelf,
483,Dialga,
483,Dialga,Origin Dialga
484,Palkia,
484,Palkia,Origin Palkia
485,Heatran,
486,Regigigas,
487,Giratina,
487,Giratina,Origin Giratina
488,Cresselia,
489,Phione,
490,Manaphy,
491,Darkrai,
492,Shaymin,
492,Shaymin,Sky Shaymin
493,Arceus,
493,Arceus,Bug Arceus
493,Arceus,Dark Arceus
493,Arceus,Dragon Arceus
493,Arceus,Electric Arceus
493,Arceus,Fighting Arceus
493,Arceus,Fire Arceus
493,Arceus,Flying Arceus
493,Arceus,Ghost Arceus
493,Arceus,Grass Arceus
493,Arceus,Ground Arceus
493,Arceus,Ice Arceus
493,Arceus,Poison Arceus
493,Arceus,Psychic Arceus
493,Arceus,Rock Arceus
493,Arceus,Steel Arceus
493,Arceus,Water Arceus
493,Arceus,Fairy Arceus
494,Victini,
495,Snivy,
496,Servine,
497,Serperior,
498,Tepig,
499,Pignite,
500,Emboar,
501,Oshawott,
502,Dewott,
503,Samurott,
503,Samurott,Hisuian Samurott
504,Patrat,
505,Watchog,
506,Lillipup,
507,Herdier,
508,Stoutland,
509,Purrloin,
510,Liepard,
511,Pansage,
512,Simisage,
513,Pansear,
514,Simisear,
515,Panpour,
516,Simipour,
517,Munna,
518,Musharna,
519,Pidove,
520,Tranquill,
521,Unfezant,
522,Blitzle,
523,Zebstrika,
524,Roggenrola,
525,Boldore,
526,Gigalith,
527,Woobat,
528,Swoobat,
529,Drilbur,
530,Excadrill,
531,Audino,
531,Audino,Mega Audino
532,Timburr,
533,Gurdurr,
534,Conkeldurr,
535,Tympole,
536,Palpitoad,
537,Seismitoad,
538,Throh,
539,Sawk,
540,Sewaddle,
541,Swadloon,
542,Leavanny,
543,Venipede,
544,Whirlipede,
545,Scolipede,
546,Cottonee,
547,Whimsicott,
548,Petilil,
549,Lilligant,
549,Lilligant,Hisuian Lilligant
550,Basculin,
550,Basculin,Blue-Striped Basculin
550,Basculin,White-Striped Basculin
551,Sandile,
552,Krokorok,
553,Krookodile,
554,Darumaka,
554,Darumaka,Galarian Darumaka
555,Darmanitan,
555,Darmanitan,Zen Darmanitan
555,Darmanitan,Galarian Darmanitan
555,Darmanitan,Galarian Zen Darmanitan
556,Maractus,
557,Dwebble,
558,Crustle,
559,Scraggy,
560,Scrafty,
561,Sigilyph,
562,Yamask,
562,Yamask,Galarian Yamask
563,Cofagrigus,
564,Tirtouga,
565,Carracosta,
566,Archen,
567,Archeops,
568,Trubbish,
569,Garbodor,
569,Garbodor,Gigantamax Garbodor
570,Zorua,
570,Zorua,Hisuian Zorua
571,Zoroark,
571,Zoroark,Hisuian Zoroark
572,Minccino,
573,Cinccino,
574,Gothita,
575,Gothorita,
576,Gothitelle,
577,Solosis,
578,Duosion,
579,Reuniclus,
580,Ducklett,
581,Swanna,
582,Vanillite,
583,Vanillish,
584,Vanilluxe,
585,Deerling,
585,Deerling,Summer Deerling
585,Deerling,Autumn Deerling
585,Deerling,Winter Deerling
586,Sawsbuck,
586,Sawsbuck,Summer Sawsbuck
586,Sawsbuck,Autumn Sawsbuck
586,Sawsbuck,Winter Sawsbuck
587,Emolga,
588,Karrablast,
589,Escavalier,
590,Foongus,
591,Amoonguss,
592,Frillish,
593,Jellicent,
594,Alomomola,
595,Joltik,
596,Galvantula,
597,Ferroseed,
598,Ferrothorn,
599,Klink,
600,Klang,
601,Klinklang,
602,Tynamo,
603,Eelektrik,
604,Eelektross,
605,Elgyem,
606,Beheeyem,
607,Litwick,
608,Lampent,
609,Chandelure,
610,Axew,
611,Fraxure,
612,Haxorus,
613,Cubchoo,
614,Beartic,
615,Cryogonal,
616,Shelmet,
617,Accelgor,
618,Stunfisk,
618,Stunfisk,Galarian Stunfisk
619,Mienfoo,
620,Mienshao,
621,Druddigon,
622,Golett,
623,Golurk,
624,Pawniard,
625,Bisharp,
626,Bouffalant,
627,Rufflet,
628,Braviary,
628,Braviary,Hisuian Braviary
629,Vullaby,
630,Mandibuzz,
631,Heatmor,
632,Durant,
633,Deino,
634,Zweilous,
635,Hydreigon,
636,Larvesta,
637,Volcarona,
638,Cobalion,
639,Terrakion,
640,Virizion,
641,Tornadus,
641,Tornadus,Therian Tornadus
642,Thundurus,
642,Thundurus,Therian Thundurus
643,Reshiram,
644,Zekrom,
645,Landorus,
645,Landorus,Therian Landorus
646,Kyurem,
646,Kyurem,Black Kyurem
646,Kyurem,White Kyurem
647,Keldeo,
647,Keldeo,Resolute Keldeo
648,Meloetta,
648,Meloetta,Pirouette Meloetta
649,Genesect,
649,Genesect,High-speed Flight Configuration Genesect
650,Chespin,
651,Quilladin,
652,Chesnaught,
653,Fennekin,
654,Braixen,
655,Delphox,
656,Froakie,
657,Frogadier,
658,Greninja,
659,Bunnelby,
660,Diggersby,
661,Fletchling,
662,Fletchinder,
663,Talonflame,
664,Scatterbug,
665,Spewpa,
666,Vivillon,
666,Vivillon,Icy Snow Vivillon
666,Vivillon,Polar Vivillon
666,Vivillon,Tundra Vivillon
666,Vivillon,Continental Vivillon
666,Vivillon,Garden Vivillon
666,Vivillon,Elegant Vivillon
666,Vivillon,Modern Vivillon
666,Vivillon,Marine Vivillon
666,Vivillon,Archipelago Vivillon
666,Vivillon,High Plain Vivillon
666,Vivillon,Sandstorm Vivillon
666,Vivillon,River Vivillon
666,Vivillon,Monsoon Vivillon
666,Vivillon,Savanna Vivillon
666,Vivillon,Sun Vivillon
666,Vivillon,Ocean Vivillon
666,Vivillon,Jungle Vivillon
666,Vivillon,Fancy Vivillon
666,Vivillon,Poké Ball Vivillon
667,Litleo,
668,Pyroar,
669,Flabébé,
669,Flabébé,Yellow Flower Flabébé
669,Flabébé,Orange Flower Flabébé
669,Flabébé,Blue Flower Flabébé
669,Flabébé,White Flower Flabébé
670,Floette,
670,Floette,Yellow Flower Floette
670,Floette,Orange Flower Floette
670,Floette,Blue Flower Floette
670,Floette,White Flower Floette
671,Florges,
671,Florges,Yellow Flower Florges
671,Florges,Orange Flower Florges
671,Florges,Blue Flower Florges
671,Florges,White Flower Florges
672,Skiddo,
673,Gogoat,
674,Pancham,
675,Pangoro,
676,Furfrou,
676,Furfrou,Heart Trim Furfrou
676,Furfrou,Star Trim Furfrou
676,Furfrou,Diamond Trim Furfrou
676,Furfrou,Debutante Trim Furfrou
676,Furfrou,Matron Trim Furfrou
676,Furfrou,Dandy Trim Furfrou
676,Furfrou,La Reine Trim Furfrou
676,Furfrou,Kabuki Trim Furfrou
676,Furfrou,Pharaoh Trim Furfrou
677,Espurr,
678,Meowstic,
679,Honedge,
680,Doublade,
681,Aegislash,
681,Aegislash,Blade Aegislash
682,Spritzee,
683,Aromatisse,
684,Swirlix,
685,Slurpuff,
686,Inkay,
687,Malamar,
688,Binacle,
689,Barbaracle,
690,Skrelp,
691,Dragalge,
692,Clauncher,
693,Clawitzer,
694,Helioptile,
695,Heliolisk,
696,Tyrunt,
697,Tyrantrum,
698,Amaura,
699,Aurorus,
700,Sylveon,
701,Hawlucha,
702,Dedenne,
703,Carbink,
704,Goomy,
705,Sliggoo,
705,Sliggoo,Hisuian Sliggoo
706,Goodra,
706,Goodra,Hisuian Goodra
707,Klefki,
708,Phantump,
709,Trevenant,
710,Pumpkaboo,
711,Gourgeist,
712,Bergmite,
713,Avalugg,
713,Avalugg,Hisuian Avalugg
714,Noibat,
715,Noivern,
716,Xerneas,
716,Xerneas,Neutral Xerneas
717,Yveltal,
718,Zygarde,
718,Zygarde,10% Zygarde
718,Zygarde,Complete Zygarde
718,Zygarde,Zygarde Cell
718,Zygarde,Zygarde Core
719,Diancie,
719,Diancie,Mega Diancie
720,Hoopa,
720,Hoopa,Hoopa Unbound
721,Volcanion,
722,Rowlet,
723,Dartrix,
724,Decidueye,
724,Decidueye,Hisuian Decidueye
725,Litten,
726,Torracat,
727,Incineroar,
728,Popplio,
729,Brionne,
730,Primarina,
731,Pikipek,
732,Trumbeak,
733,Toucannon,
734,Yungoos,
735,Gumshoos,
736,Grubbin,
737,Charjabug,
738,Vikavolt,
739,Crabrawler,
740,Crabominable,
741,Oricorio,
741,Oricorio,Pom-pom Oricorio
741,Oricorio,Pa'u Oricorio
741,Oricorio,Sensu Oricorio
742,Cutiefly,
743,Ribombee,
744,Rockruff,
745,Lycanroc,
745,Lycanroc,Midnight Lycanroc
745,Lycanroc,Dusk Lycanroc
746,Wishiwashi,
746,Wishiwashi,School Wishiwashi
747,Mareanie,
748,Toxapex,
749,Mudbray,
750,Mudsdale,
751,Dewpider,
752,Araquanid,
753,Fomantis,
754,Lurantis,
755,Morelull,
756,Shiinotic,
757,Salandit,
758,Salazzle,
759,Stufful,
760,Bewear,
761,Bounsweet,
762,Steenee,
763,Tsareena,
764,Comfey,
765,Oranguru,
766,Passimian,
767,Wimpod,
768,Golisopod,
769,Sandygast,
770,Palossand,
771,Pyukumuku,
772,Type: Null,
773,Silvally,
773,Silvally,Bug Silvally
773,Silvally,Dark Silvally
773,Silvally,Dragon Silvally
773,Silvally,Electric Silvally
773,Silvally,Fighting Silvally
773,Silvally,Fire Silvally
773,Silvally,Flying Silvally
773,Silvally,Ghost Silvally
773,Silvally,Grass Silvally
773,Silvally,Ground Silvally
773,Silvally,Ice Silvally
773,Silvally,Poison Silvally
773,Silvally,Psychic Silvally
773,Silvally,Rock Silvally
773,Silvally,Steel Silvally
773,Silvally,Water Silvally
773,Silvally,Fairy Silvally
774,Minior,
774,Minior,Red Meteor Minior
774,Minior,Orange Meteor Minior
774,Minior,Yellow Meteor Minior
774,Minior,Green Meteor Minior
774,Minior,Blue Meteor Minior
774,Minior,Indigo Meteor Minior
774,Minior,Violet Meteor Minior
774,Minior,Red Core Minior
774,Minior,Orange Core Minior
774,Minior,Yellow Core Minior
774,Minior,Green Core Minior
774,Minior,Blue Core Minior
774,Minior,Indigo Core Minior
774,Minior,Violet Core Minior
775,Komala,
776,Turtonator,
777,Togedemaru,
778,Mimikyu,
779,Bruxish,
780,Drampa,
781,Dhelmise,
782,Jangmo-o,
783,Hakamo-o,
784,Kommo-o,
785,Tapu Koko,
786,Tapu Lele,
787,Tapu Bulu,
788,Tapu Fini,
789,Cosmog,
790,Cosmoem,
791,Solgaleo,
792,Lunala,
793,Nihilego,
794,Buzzwole,
795,Pheromosa,
796,Xurkitree,
797,Celesteela,
798,Kartana,
799,Guzzlord,
800,Necrozma,
800,Necrozma,Dusk Mane Necrozma
800,Necrozma,Dawn Wings Necrozma
800,Necrozma,Ultra Necrozma
801,Magearna,
801,Magearna,Original Magearna
802,Marshadow,
802,Marshadow,Zenith Marshadow
803,Poipole,
804,Naganadel,
805,Stakataka,
806,Blacephalon,
807,Zeraora,
808,Meltan,
809,Melmetal,
809,Melmetal,Gigantamax Melmetal
810,Grookey,
811,Thwackey,
812,Rillaboom,
812,Rillaboom,Gigantamax Rillaboom
813,Scorbunny,
814,Raboot,
815,Cinderace,
815,Cinderace,Gigantamax Cinderace
816,Sobble,
817,Drizzile,
818,Inteleon,
818,Inteleon,Gigantamax Inteleon
819,Skwovet,
820,Greedent,
821,Rookidee,
822,Corvisquire,
823,Corviknight,
823,Corviknight,Gigantamax Corviknight
824,Blipbug,
825,Dottler,
826,Orbeetle,
826,Orbeetle,Gigantamax Orbeetle
827,Nickit,
828,Thievul,
829,Gossifleur,
830,Eldegoss,
831,Wooloo,
832,Dubwool,
833,Chewtle,
834,Drednaw,
834,Drednaw,Gigantamax Drednaw
835,Yamper,
836,Boltund,
837,Rolycoly,
838,Carkol,
839,Coalossal,
839,Coalossal,Gigantamax Coalossal
840,Applin,
841,Flapple,
841,Flapple,Gigantamax Flapple
842,Appletun,
842,Appletun,Gigantamax Appletun
843,Silicobra,
844,Sandaconda,
844,Sandaconda,Gigantamax Sandaconda
845,Cramorant,
845,Cramorant,Gulping Cramorant
845,Cramorant,Gorging Cramorant
846,Arrokuda,
847,Barraskewda,
848,Toxel,
849,Amped Toxtricity,
849,Amped Toxtricity,Low Key Toxtricity
849,Amped Toxtricity,Gigantamax Amped Toxtricity
849,Amped Toxtricity,Gigantamax Low Key Toxtricity
850,Sizzlipede,
851,Centiskorch,
851,Centiskorch,Gigantamax Centiskorch
852,Clobbopus,
853,Grapploct,
854,Sinistea,
855,Polteageist,
856,Hatenna,
857,Hattrem,
858,Hatterene,
858,Hatterene,Gigantamax Hatterene
859,Impidimp,
860,Morgrem,
861,Grimmsnarl,
861,Grimmsnarl,Gigantamax Grimmsnarl
862,Obstagoon,
863,Perrserker,
864,Cursola,
865,Sirfetch'd,
866,Mr. Rime,
867,Runerigus,
868,Milcery,
869,Alcremie,
869,Alcremie,Gigantamax Alcremie
869,Alcremie,Vanilla Cream Berry Sweet Alcremie
869,Alcremie,Vanilla Cream Love Sweet Alcremie
869,Alcremie,Vanilla Cream Star Sweet Alcremie
869,Alcremie,Vanilla Cream Clover Sweet Alcremie
869,Alcremie,Vanilla Cream Flower Sweet Alcremie
869,Alcremie,Vanilla Cream Ribbon Sweet Alcremie
870,Falinks,
871,Pincurchin,
872,Snom,
873,Frosmoth,
874,Stonjourner,
875,Eiscue,
875,Eiscue,Noice Face Eiscue
876,Indeedee,
877,Morpeko,
877,Morpeko,Hangry Morpeko
878,Cufant,
879,Copperajah,
879,Copperajah,Gigantamax Copperajah
880,Dracozolt,
881,Arctozolt,
882,Dracovish,
883,Arctovish,
884,Duraludon,
884,Duraludon,Gigantamax Duraludon
885,Dreepy,
886,Drakloak,
887,Dragapult,
888,Zacian,
888,Zacian,Crowned Zacian
889,Zamazenta,
889,Zamazenta,Crowned Zamazenta
890,Eternatus,
890,Eternatus,Eternamax Eternatus
891,Kubfu,
892,Urshifu,
892,Urshifu,Rapid Strike Urshifu
892,Urshifu,Gigantamax Single Strike Urshifu
892,Urshifu,Gigantamax Rapid Strike Urshifu
893,Zarude,
893,Zarude,Dada Zarude
894,Regieleki,
895,Regidrago,
896,Glastrier,
897,Spectrier,
898,Calyrex,
898,Calyrex,Ice Rider Calyrex
898,Calyrex,Shadow Rider Calyrex
899,Wyrdeer,
900,Kleavor,
901,Ursaluna,
901,Ursaluna,Bloodmoon Ursaluna
902,Basculegion,
903,Sneasler,
904,Overqwil,
905,Enamorus,
905,Enamorus,Therian Enamorus
906,Sprigatito,
907,Floragato,
908,Meowscarada,
909,Fuecoco,
910,Crocalor,
911,Skeledirge,
912,Quaxly,
913,Quaxwell,
914,Quaquaval,
915,Lechonk,
916,Oinkologne,
917,Tarountula,
918,Spidops,
