Name,Egg Groups
Blaziken,Field
Blipbug,Bug
Blissey,Fairy
Blitzle,Field
Bloodmoon Ursaluna,Field
Blue Core Minior,Mineral
Blue Flower Flabébé,Fairy
Blue Flower Floette,Fairy
Blue Flower Florges,Fairy
Blue Meteor Minior,Mineral
Blue Plumage Squawkabilly,Flying
Blue-Striped Basculin,Water 2
Boldore,Mineral
Boltund,Field
Bombirdier,Flying
Bonsly,Undiscovered
Bouffalant,Field
Bounsweet,Grass
Braixen,Field
Brambleghast,Grass
Bramblin,Grass
Braviary,Flying
Breloom,"Fairy, Grass"
Brionne,"Water 1, Field"
Bronzong,Mineral
Bronzor,Mineral
Brute Bonnet,Undiscovered
Bruxish,Water 2
Budew,Undiscovered
Bug Arceus,Undiscovered
Bug Silvally,Undiscovered
Buizel,"Water 1, Field"
Bulbasaur,"Monster, Grass"
Buneary,"Field, Human-Like"
Bunnelby,Field
Burmy,Bug
Busted Mimikyu,Undiscovered
Butterfree,Bug
Buzzwole,Undiscovered
Cacnea,"Grass, Human-Like"
Cacturne,"Grass, Human-Like"
Calyrex,Undiscovered
Camerupt,Field
Capsakid,Grass
Carbink,"Fairy, Mineral"
Carkol,Mineral
Carnivine,Grass
Carracosta,"Water 1, Water 3"
Carvanha,Water 2
Cascoon,Bug
Castform,"Fairy, Amorphous"
Caterpie,Bug
Celebi,Undiscovered
Celesteela,Undiscovered
Centiskorch,Bug
Ceruledge,Human-Like
Cetitan,Field
Cetoddle,Field
Chandelure,Amorphous
Chansey,Fairy
Charcadet,Human-Like
Charizard,"Monster, Dragon"
Charjabug,Bug
Charmander,"Monster, Dragon"
Charmeleon,"Monster, Dragon"
Chatot,Flying
Chef Dente,Undiscovered
Cherrim,"Fairy, Grass"
Cherubi,"Fairy, Grass"
Chesnaught,Field
Chespin,Field
Chewtle,"Monster, Water 1"
Chi-Yu,Undiscovered
Chien-Pao,Undiscovered
Chikorita,"Monster, Grass"
Chimchar,"Field, Human-Like"
Chimecho,Amorphous
Chinchou,Water 2
Chingling,Undiscovered
Cinccino,Field
Cinderace,"Field, Human-Like"
Clamperl,Water 1
Clauncher,"Water 1, Water 3"
Clawitzer,"Water 1, Water 3"
Claydol,Mineral
Clefable,Fairy
Clefairy,Fairy
Cleffa,Undiscovered
Clobbopus,"Water 1, Human-Like"
Clodsire,"Water 1, Field"
Cloyster,Water 3
Coalossal,Mineral
Cobalion,Undiscovered
Cofagrigus,"Mineral, Amorphous"
Combat Breed Tauros,Field
Combee,Bug
Combusken,Field
Comfey,Grass
Complete Zygarde,Undiscovered
Conkeldurr,Human-Like
Continental Vivillon,Bug
Copperajah,"Field, Mineral"
Cornerstone Mask Ogerpon,Undiscovered
Corphish,"Water 1, Water 3"
Corsola,"Water 1, Water 3"
Corviknight,Flying
Corvisquire,Flying
Cosmoem,Undiscovered
Cosmog,Undiscovered
Cottonee,"Grass, Fairy"
Crabominable,Water 3
Crabrawler,Water 3
Cradily,Water 3
Cramorant,"Water 1, Flying"
Cranidos,Monster
Crawdaunt,"Water 1, Water 3"
Cresselia,Undiscovered
Croagunk,Human-Like
Crobat,Flying
Crocalor,Field
Croconaw,"Monster, Water 1"
Crowned Zacian,Undiscovered
Crowned Zamazenta,Undiscovered
Crustle,"Bug, Mineral"
Cryogonal,Mineral
Cubchoo,Field
Cubone,Monster
Cufant,"Field, Mineral"
Cursola,"Water 1, Water 3"
Cutiefly,"Bug, Fairy"
Cyclizar,Field
Cyndaquil,Field
Dachsbun,"Field, Mineral"
Dada Zarude,Undiscovered
Dandy Trim Furfrou,Field
Dark Arceus,Undiscovered
Dark Silvally,Undiscovered
Darkrai,Undiscovered
Darmanitan,Field
Dartrix,Flying
Darumaka,Field
Dawn Wings Necrozma,Undiscovered
Debutante Trim Furfrou,Field
Decidueye,Flying
Dedenne,"Field, Fairy"
Deerling,Field
Defense Deoxys,Undiscovered
Deino,Dragon
Delcatty,"Field, Fairy"
Delibird,"Water 1, Field"
Delphox,Field
Deoxys,Undiscovered
Dewgong,"Water 1, Field"
Dewott,Field
Dewpider,"Water 1, Bug"
Dhelmise,Mineral
Dialga,Undiscovered
Diamond Trim Furfrou,Field
Diancie,Undiscovered
Diggersby,Field
Diglett,Field
Dipplin,"Grass, Dragon"
Ditto,Ditto
DJ Rotom,Undiscovered
Dodrio,Flying
Doduo,Flying
Dolliv,Grass
Dondozo,Water 2
Donphan,Field
Dottler,Bug
Doublade,Mineral
Dracovish,Undiscovered
Dracozolt,Undiscovered
Dragalge,"Water 1, Dragon"
Dragapult,"Amorphous, Dragon"
Dragon Arceus,Undiscovered
Dragon Silvally,Undiscovered
Dragonair,"Water 1, Dragon"
Dragonite,"Water 1, Dragon"
Drakloak,"Amorphous, Dragon"
Drampa,"Monster, Dragon"
Drapion,"Bug, Water 3"
Dratini,"Water 1, Dragon"
Drednaw,"Monster, Water 1"
Dreepy,"Amorphous, Dragon"
Drifblim,Amorphous
Drifloon,Amorphous
Drilbur,Field
Drive Mode Miraidon,Undiscovered
Drizzile,"Water 1, Field"
Droopy Tatsugiri,Water 2
Drowzee,Human-Like
Druddigon,"Dragon, Monster"
Dubwool,Field
Ducklett,"Water 1, Flying"
Dudunsparce,Field
Dugtrio,Field
Dunsparce,Field
Duosion,Amorphous
Duraludon,"Mineral, Dragon"
Durant,Bug
Dusclops,Amorphous
Dusk Lycanroc,Field
Dusk Mane Necrozma,Undiscovered
Dusknoir,Amorphous
Duskull,Amorphous
Dustox,Bug
Dwebble,"Bug, Mineral"
East Sea Gastrodon,"Water 1, Amorphous"
East Sea Shellos,"Water 1, Amorphous"
Eelektrik,Amorphous
Eelektross,Amorphous
Eevee,Field
Eiscue,"Water 1, Field"
Ekans,"Field, Dragon"
Eldegoss,Grass
Electabuzz,Human-Like
Electivire,Human-Like
Electric Arceus,Undiscovered
Electric Silvally,Undiscovered
Electrike,Field
Electrode,Mineral
Elegant Vivillon,Bug
Elekid,Undiscovered
Elgyem,Human-Like
Emboar,Field
Emolga,Field
Empoleon,"Water 1, Field"
Enamorus,Undiscovered
Entei,Undiscovered
Escavalier,Bug
Espathra,Flying
Espeon,Field
Espurr,Field
Eternamax Eternatus,Undiscovered
Eternatus,Undiscovered
Excadrill,Field
Exeggcute,Grass
Exeggutor,Grass
Exploud,"Monster, Field"
Fairy Arceus,Undiscovered
Fairy Silvally,Undiscovered
Falinks,"Fairy, Mineral"
Family of Three Maushold,"Field, Fairy"
Fan Rotom,Amorphous
Fancy Vivillon,Bug
Farfetch'd,"Flying, Field"
Farigiraf,Field
Fearow,Flying
Feebas,"Water 1, Dragon"
Fennekin,Field
Feraligatr,"Monster, Water 1"
Ferroseed,"Grass, Mineral"
Ferrothorn,"Grass, Mineral"
Fezandipiti,Undiscovered
Fidough,"Field, Mineral"
Fighting Arceus,Undiscovered
Fighting Silvally,Undiscovered
Finizen,"Field, Water 2"
Finneon,Water 2
Fire Arceus,Undiscovered
Fire Silvally,Undiscovered
Flaaffy,"Monster, Field"
Flabébé,Fairy
Flamigo,Flying
Flapple,"Grass, Dragon"
Flareon,Field
Fletchinder,Flying
Fletchling,Flying
Flittle,Flying
Floatzel,"Water 1, Field"
Floette,Fairy
Floragato,"Field, Grass"
Florges,Fairy
Flutter Mane,Undiscovered
Flygon,"Bug, Dragon"
Flying Arceus,Undiscovered
Flying Silvally,Undiscovered
Fomantis,Grass
Foongus,Grass
Forretress,Bug
Fraxure,"Monster, Dragon"
Frigibax,"Dragon, Mineral"
Frillish,Amorphous
Froakie,Water 1
Frogadier,Water 1
Froslass,"Fairy, Mineral"
Frosmoth,Bug
Frost Rotom,Amorphous
Fuecoco,Field
Furfrou,Field
Furret,Field
Gabite,"Monster, Dragon"
Galarian Articuno,Undiscovered
Galarian Corsola,"Water 1, Water 3"
Galarian Darmanitan,Field
Galarian Darumaka,Field
Galarian Farfetch'd,"Flying, Field"
Galarian Linoone,Field
Galarian Meowth,Field
Galarian Moltres,Undiscovered
Galarian Mr. Mime,Human-Like
Galarian Ponyta,Field
Galarian Rapidash,Field
Galarian Slowbro,"Monster, Water 1"
Galarian Slowking,"Monster, Water 1"
Galarian Slowpoke,"Monster, Water 1"
Galarian Stunfisk,"Water 1, Amorphous"
Galarian Weezing,Amorphous
Galarian Yamask,"Mineral, Amorphous"
Galarian Zapdos,Undiscovered
Galarian Zen Darmanitan,Field
Galarian Zigzagoon,Field
Gallade,"Human-Like, Amorphous"
Galvantula,Bug
Garbodor,Mineral
Garchomp,"Monster, Dragon"
Garden Vivillon,Bug
Gardevoir,"Human-Like, Amorphous"
Garganacl,Mineral
Gastly,Amorphous
Gastrodon,"Water 1, Amorphous"
Genesect,Undiscovered
Gengar,Amorphous
Geodude,Mineral
Gholdengo,Undiscovered
Ghost Arceus,Undiscovered
Ghost Silvally,Undiscovered
Gible,"Monster, Dragon"
Gigalith,Mineral
Gigantamax Alcremie,"Fairy, Amorphous"
Gigantamax Amped Toxtricity,Human-Like
Gigantamax Appletun,"Grass, Dragon"
Gigantamax Blastoise,"Monster, Water 1"
Gigantamax Butterfree,Bug
Gigantamax Centiskorch,Bug
Gigantamax Charizard,"Monster, Dragon"
Gigantamax Cinderace,"Field, Human-Like"
Gigantamax Coalossal,Mineral
Gigantamax Copperajah,"Field, Mineral"
Gigantamax Corviknight,Flying
Gigantamax Drednaw,"Monster, Water 1"
Gigantamax Duraludon,"Mineral, Dragon"
Gigantamax Eevee,Field
Gigantamax Flapple,"Grass, Dragon"
Gigantamax Garbodor,Mineral
Gigantamax Gengar,Amorphous
Gigantamax Grimmsnarl,"Fairy, Human-Like"
Gigantamax Hatterene,Fairy
Gigantamax Inteleon,"Water 1, Field"
Gigantamax Kingler,Water 3
Gigantamax Lapras,"Monster, Water 1"
Gigantamax Low Key Toxtricity,Human-Like
Gigantamax Machamp,Human-Like
Gigantamax Melmetal,Undiscovered
Gigantamax Meowth,Field
Gigantamax Orbeetle,Bug
Gigantamax Pikachu,"Field, Fairy"
Gigantamax Rapid Strike Urshifu,Undiscovered
Gigantamax Rillaboom,"Field, Grass"
Gigantamax Sandaconda,"Field, Dragon"
Gigantamax Single Strike Urshifu,Undiscovered
Gigantamax Snorlax,Monster
Gigantamax Venusaur,"Monster, Grass"
Gimmighoul,Undiscovered
Girafarig,Field
Giratina,Undiscovered
Glaceon,Field
Glalie,"Fairy, Mineral"
Glameow,Field
Glastrier,Undiscovered
Glide Mode Miraidon,Undiscovered
Gliding Build Koraidon,Undiscovered
Gligar,Bug
Glimmet,Mineral
Glimmora,Mineral
Gliscor,Bug
Gloom,Grass
Gogoat,Field
Golbat,Flying
Goldeen,Water 2
Golduck,"Water 1, Field"
Golem,Mineral
Golett,Mineral
Golisopod,"Bug, Water 3"
Golurk,Mineral
Goodra,Dragon
Goomy,Dragon
Gorebyss,Water 1
Gorging Cramorant,"Water 1, Flying"
Gossifleur,Grass
Gothita,Human-Like
Gothitelle,Human-Like
Gothorita,Human-Like
Gouging Fire,Undiscovered
Gourgeist,Amorphous
Grafaiai,Field
Granbull,"Field, Fairy"
Grapploct,"Water 1, Human-Like"
Grass Arceus,Undiscovered
Grass Silvally,Undiscovered
Graveler,Mineral
Great Tusk,Undiscovered
Greavard,Field
Greedent,Field
Green Core Minior,Mineral
Green Meteor Minior,Mineral
Greninja,Water 1
Grimer,Amorphous
Grimmsnarl,"Fairy, Human-Like"
Grookey,"Field, Grass"
Grotle,"Monster, Grass"
Groudon,Undiscovered
Ground Arceus,Undiscovered
Ground Silvally,Undiscovered
Grovyle,"Monster, Dragon"
Growlithe,Field
Grubbin,Bug
Grumpig,Field
Gulpin,Amorphous
Gulping Cramorant,"Water 1, Flying"
Gumshoos,Field
Gurdurr,Human-Like
Guzzlord,Undiscovered
Gyarados,"Water 2, Dragon"
Hakamo-o,Dragon
Hangry Morpeko,"Field, Fairy"
Happiny,Undiscovered
Hariyama,Human-Like
Hatenna,Fairy
Hatterene,Fairy
Hattrem,Fairy
Haunter,Amorphous
Hawlucha,"Flying, Human-Like"
Haxorus,"Monster, Dragon"
Heart Trim Furfrou,Field
Hearthflame Mask Ogerpon,Undiscovered
Heat Rotom,Amorphous
Heatmor,Field
Heatran,Undiscovered
Heliolisk,"Monster, Dragon"
Helioptile,"Monster, Dragon"
Heracross,Bug
Herdier,Field
Hero Palafin,"Field, Water 2"
High Plain Vivillon,Bug
High-speed Flight Configuration Genesect,Undiscovered
Hippopotas,Field
Hippowdon,Field
Hisuian Arcanine,Field
Hisuian Avalugg,"Monster, Mineral"
Hisuian Braviary,Flying
Hisuian Decidueye,Flying
Hisuian Electrode,Mineral
Hisuian Goodra,Dragon
Hisuian Growlithe,Field
Hisuian Lilligant,Grass
Hisuian Qwilfish,Water 2
Hisuian Samurott,Field
Hisuian Sliggoo,Dragon
Hisuian Sneasel,Field
Hisuian Typhlosion,Field
Hisuian Voltorb,Mineral
Hisuian Zoroark,Field
Hisuian Zorua,Field
Hitmonchan,Human-Like
Hitmonlee,Human-Like
Hitmontop,Human-Like
Ho-Oh,Undiscovered
Hoenn Cap Pikachu,Undiscovered
Honchkrow,Flying
Honedge,Mineral
Hoopa,Undiscovered
Hoopa Unbound,Undiscovered
Hoothoot,Flying
Hoppip,"Fairy, Grass"
Horsea,"Water 1, Dragon"
Houndoom,Field
Houndour,Field
Houndstone,Field
Huntail,Water 1
Hydrapple,"Grass, Dragon"
Hydreigon,Dragon
Hypno,Human-Like
Ice Arceus,Undiscovered
Ice Rider Calyrex,Undiscovered
Ice Silvally,Undiscovered
Icy Snow Vivillon,Bug
Igglybuff,Undiscovered
Illumise,"Bug, Human-Like"
Impidimp,"Fairy, Human-Like"
Incineroar,Field
Indeedee,Fairy
Indigo Core Minior,Mineral
Indigo Meteor Minior,Mineral
Infernape,"Field, Human-Like"
Inkay,"Water 1, Water 2"
Inteleon,"Water 1, Field"
Iron Boulder,Undiscovered
Iron Bundle,Undiscovered
Iron Crown,Undiscovered
Iron Hands,Undiscovered
Iron Jugulis,Undiscovered
Iron Leaves,Undiscovered
Iron Moth,Undiscovered
Iron Thorns,Undiscovered
Iron Treads,Undiscovered
Iron Valiant,Undiscovered
Ivysaur,"Monster, Grass"
Jangmo-o,Dragon
Jellicent,Amorphous
Jigglypuff,Fairy
Jirachi,Undiscovered
Jolteon,Field
Joltik,Bug
Jumpluff,"Fairy, Grass"
Jungle Vivillon,Bug
Jynx,Human-Like
Kabuki Trim Furfrou,Field
Kabuto,"Water 1, Water 3"
Kabutops,"Water 1, Water 3"
Kadabra,Human-Like
Kakuna,Bug
Kalos Cap Pikachu,Undiscovered
Kangaskhan,Monster
Karrablast,Bug
Kartana,Undiscovered
Kecleon,Field
Keldeo,Undiscovered
Kilowattrel,"Water 1, Flying"
Kingambit,Human-Like
Kingdra,"Water 1, Dragon"
Kingler,Water 3
Kirlia,"Human-Like, Amorphous"
Klang,Mineral
Klawf,Water 3
Kleavor,Bug
Klefki,Mineral
Klink,Mineral
Klinklang,Mineral
Koffing,Amorphous
Komala,Field
Kommo-o,Dragon
Koraidon,Undiscovered
Krabby,Water 3
Kricketot,Bug
Kricketune,Bug
Krokorok,Field
Krookodile,Field
Kubfu,Undiscovered
Kyogre,Undiscovered
Kyurem,Undiscovered
La Reine Trim Furfrou,Field
Lairon,Monster
Lampent,Amorphous
Landorus,Undiscovered
Lanturn,Water 2
Lapras,"Monster, Water 1"
Large Gourgeist,Undiscovered
Large Pumpkaboo,Undiscovered
Larvesta,Bug
Larvitar,Monster
Latias,Undiscovered
Latios,Undiscovered
Leafeon,Field
Leavanny,Bug
Lechonk,Field
Ledian,Bug
Ledyba,Bug
Lickilicky,Monster
Lickitung,Monster
Liepard,Field
Lileep,Water 3
Lilligant,Grass
Lillipup,Field
Linoone,Field
Litleo,Field
Litten,Field
Litwick,Amorphous
Lokix,Bug
Lombre,"Water 1, Grass"
Lopunny,"Field, Human-Like"
Lotad,"Water 1, Grass"
Loudred,"Monster, Field"
Low Key Toxtricity,Human-Like
Lucario,"Field, Human-Like"
Ludicolo,"Water 1, Grass"
Lugia,Undiscovered
Lumineon,Water 2
Lunala,Undiscovered
Lunatone,Mineral
Lurantis,Grass
Luvdisc,Water 2
Luxio,Field
Luxray,Field
Lycanroc,Field
Mabosstiff,Field
Machamp,Human-Like
Machoke,Human-Like
Machop,Human-Like
Magby,Undiscovered
Magcargo,Amorphous
Magearna,Undiscovered
Magikarp,"Water 2, Dragon"
Magmar,Human-Like
Magmortar,Human-Like
Magnemite,Mineral
Magneton,Mineral
Magnezone,Mineral
Makuhita,Human-Like
Malamar,"Water 1, Water 2"
Mamoswine,Field
Manaphy,"Water 1, Fairy"
Mandibuzz,Flying
Manectric,Field
Mankey,Field
Mantine,Water 1
Mantyke,Undiscovered
Maractus,Grass
Mareanie,Water 1
Mareep,"Monster, Field"
Marill,"Water 1, Fairy"
Marine Vivillon,Bug
Marowak,Monster
Marshadow,Undiscovered
Marshtomp,"Monster, Water 1"
Maschiff,Field
Masquerain,"Water 1, Bug"
Matron Trim Furfrou,Field
Maushold,"Field, Fairy"
Mawile,"Field, Fairy"
Medicham,Human-Like
Meditite,Human-Like
Mega Abomasnow,"Monster, Grass"
Mega Absol,Field
Mega Aerodactyl,Flying
Mega Aggron,Monster
Mega Alakazam,Human-Like
Mega Altaria,"Flying, Dragon"
Mega Ampharos,"Monster, Field"
Mega Audino,Fairy
Mega Banette,Amorphous
Mega Beedrill,Bug
Mega Blastoise,"Monster, Water 1"
Mega Blaziken,Field
Mega Camerupt,Field
Mega Charizard X,"Monster, Dragon"
Mega Charizard Y,"Monster, Dragon"
Mega Diancie,Undiscovered
Mega Gallade,"Human-Like, Amorphous"
Mega Garchomp,"Monster, Dragon"
Mega Gardevoir,"Human-Like, Amorphous"
Mega Gengar,Amorphous
Mega Glalie,"Fairy, Mineral"
Mega Gyarados,"Water 2, Dragon"
Mega Heracross,Bug
Mega Houndoom,Field
Mega Kangaskhan,Monster
Mega Latias,Undiscovered
Mega Latios,Undiscovered
Mega Lopunny,"Field, Human-Like"
Mega Lucario,"Field, Human-Like"
Mega Manectric,Field
Mega Mawile,"Field, Fairy"
Mega Medicham,Human-Like
Mega Metagross,Mineral
Mega Mewtwo X,Undiscovered
Mega Mewtwo Y,Undiscovered
Mega Pidgeot,Flying
Mega Pinsir,Bug
Mega Rayquaza,Undiscovered
Mega Sableye,Human-Like
Mega Salamence,Dragon
Mega Sceptile,"Monster, Dragon"
Mega Scizor,Bug
Mega Sharpedo,Water 2
Mega Slowbro,"Monster, Water 1"
Mega Steelix,Mineral
Mega Swampert,"Monster, Water 1"
Mega Tyranitar,Monster
Mega Venusaur,"Monster, Grass"
Meganium,"Monster, Grass"
Melmetal,Undiscovered
Meloetta,Undiscovered
Meltan,Undiscovered
Meowscarada,"Field, Grass"
Meowstic,Field
Meowth,Field
Mesprit,Undiscovered
Metagross,Mineral
Metang,Mineral
Metapod,Bug
Mew,Undiscovered
Mewtwo,Undiscovered
Midnight Lycanroc,Field
Mienfoo,"Field, Human-Like"
Mienshao,"Field, Human-Like"
Mightyena,Field
Milcery,"Fairy, Amorphous"
Milotic,"Water 1, Dragon"
Miltank,Field
Mime Jr.,Undiscovered
Mimikyu,Amorphous
Minccino,Field
Minior,Mineral
Minun,Fairy
Miraidon,Undiscovered
Misdreavus,Amorphous
Mismagius,Amorphous
MissingNo.,Undiscovered
Modern Vivillon,Bug
Moltres,Undiscovered
Monferno,"Field, Human-Like"
Monsoon Vivillon,Bug
Morelull,Grass
Morgrem,"Fairy, Human-Like"
Morpeko,"Field, Fairy"
Mosslax,Undiscovered
Mothim,Bug
Mow Rotom,Amorphous
Mr. Mime,Human-Like
Mr. Rime,Human-Like
Mudbray,Field
Mudkip,"Monster, Water 1"
Mudsdale,Field
Muk,Amorphous
Munchlax,Undiscovered
Munkidori,Undiscovered
Munna,Field
Murkrow,Flying
Musharna,Field
Nacli,Mineral
Naclstack,Mineral
Naganadel,Undiscovered
Natu,Flying
Necrozma,Undiscovered
Neutral Xerneas,Undiscovered
Nickit,Field
Nidoking,"Monster, Field"
Nidoqueen,Undiscovered
Nidoran♀️,"Monster, Field"
Nidoran♂️,"Monster, Field"
Nidorina,Undiscovered
Nidorino,"Monster, Field"
Nihilego,Undiscovered
Nincada,Bug
Ninetales,Field
Ninjask,Bug
Noctowl,Flying
Noibat,"Flying, Dragon"
Noice Face Eiscue,"Water 1, Field"
Noivern,"Flying, Dragon"
Nosepass,Mineral
Numel,Field
Nuzleaf,"Field, Grass"
Nymble,Bug
Obstagoon,Field
Ocean Vivillon,Bug
Octillery,"Water 1, Water 2"
Oddish,Grass
Ogerpon,Undiscovered
Oinkologne,Field
Okidogi,Undiscovered
Omanyte,"Water 1, Water 3"
Omastar,"Water 1, Water 3"
Onix,Mineral
Orange Core Minior,Mineral
Orange Flower Flabébé,Fairy
Orange Flower Floette,Fairy
Orange Flower Florges,Fairy
Orange Meteor Minior,Mineral
Oranguru,Field
Orbeetle,Bug
Oricorio,Flying
Origin Dialga,Undiscovered
Origin Giratina,Undiscovered
Origin Palkia,Undiscovered
Original Cap Pikachu,Undiscovered
Original Magearna,Undiscovered
Orthworm,Field
Oshawott,Field
Overqwil,Water 2
Pa'u Oricorio,Flying
Pachirisu,"Field, Fairy"
Palafin,"Field, Water 2"
Paldean Wooper,"Water 1, Field"
Palkia,Undiscovered
Palossand,Amorphous
Palpitoad,Water 1
Pancham,"Field, Human-Like"
Pangoro,"Field, Human-Like"
Panpour,Field
Pansage,Field
Pansear,Field
Paras,"Bug, Grass"
Parasect,"Bug, Grass"
Partner Cap Pikachu,Undiscovered
Partner Eevee,Field
Partner Pikachu,"Field, Fairy"
Passimian,Field
Patrat,Field
Pawmi,Field
Pawmo,Field
Pawmot,Field
Pawniard,Human-Like
Peakychu,Undiscovered
Pecharunt,Undiscovered
Pelipper,"Water 1, Flying"
Perrserker,Field
Persian,Field
Petilil,Grass
Phanpy,Field
Phantump,"Grass, Amorphous"
Pharaoh Trim Furfrou,Field
Pheromosa,Undiscovered
Phione,"Water 1, Fairy"
Pichu,Undiscovered
Pidgeot,Flying
Pidgeotto,Flying
Pidgey,Flying
Pidove,Flying
Pignite,Field
Pikachu,"Field, Fairy"
Pikachu Belle,Undiscovered
Pikachu Libre,Undiscovered
Pikachu Ph.D.,Undiscovered
Pikachu Pop Star,Undiscovered
Pikachu Rock Star,Undiscovered
Pikipek,Flying
Piloswine,Field
Pincurchin,"Water 1, Amorphous"
Pineco,Bug
Pinsir,Bug
Piplup,"Water 1, Field"
Pirouette Meloetta,Undiscovered
Plusle,Fairy
Poipole,Undiscovered
Poison Arceus,Undiscovered
Poison Silvally,Undiscovered
Poké Ball Vivillon,Bug
Polar Vivillon,Bug
Politoed,Water 1
Poliwag,Water 1
Poliwhirl,Water 1
Poliwrath,Water 1
Poltchageist,"Mineral, Amorphous"
Polteageist,"Mineral, Amorphous"
Pom-pom Oricorio,Flying
Ponyta,Field
Poochyena,Field
Popplio,"Water 1, Field"
Porygon,Mineral
Porygon-Z,Mineral
Porygon2,Mineral
Primal Groudon,Undiscovered
Primal Kyogre,Undiscovered
Primarina,"Water 1, Field"
Primeape,Field
Prinplup,"Water 1, Field"
Probopass,Mineral
Prof Tangrowth,Undiscovered
Psychic Arceus,Undiscovered
Psychic Silvally,Undiscovered
Psyduck,"Water 1, Field"
Pumpkaboo,Amorphous
Pupitar,Monster
Purrloin,Field
Purugly,Field
Pyroar,Field
Pyukumuku,Water 1
Quagsire,"Water 1, Field"
Quaquaval,"Flying, Water 1"
Quaxly,"Flying, Water 1"
Quaxwell,"Flying, Water 1"
Quilava,Field
Quilladin,Field
Qwilfish,Water 2
Raboot,"Field, Human-Like"
Rabsca,Bug
Raging Bolt,Undiscovered
Raichu,"Field, Fairy"
Raikou,Undiscovered
Rainy Castform,"Fairy, Amorphous"
Ralts,"Human-Like, Amorphous"
Rampardos,Monster
Rapid Strike Urshifu,Undiscovered
Rapidash,Field
Raticate,Field
Rattata,Field
Rayquaza,Undiscovered
Red Core Minior,Mineral
Red Meteor Minior,Mineral
Regice,Undiscovered
Regidrago,Undiscovered
Regieleki,Undiscovered
Regigigas,Undiscovered
Regirock,Undiscovered
Registeel,Undiscovered
Relicanth,"Water 1, Water 2"
Rellor,Bug
Remoraid,"Water 1, Water 2"
Reshiram,Undiscovered
Resolute Keldeo,Undiscovered
Reuniclus,Amorphous
Revavroom,Mineral
Rhydon,"Monster, Field"
Rhyhorn,"Monster, Field"
Rhyperior,"Monster, Field"
Ribombee,"Bug, Fairy"
Ride Cyclizar,Field
Rillaboom,"Field, Grass"
Riolu,Undiscovered
River Vivillon,Bug
Roaming Gimmighoul,Undiscovered
Roaring Moon,Undiscovered
Rock Arceus,Undiscovered
Rock Silvally,Undiscovered
Rockruff,Field
Roggenrola,Mineral
Rolycoly,Mineral
Rookidee,Flying
Roselia,"Fairy, Grass"
Roserade,"Fairy, Grass"
Rotom,Amorphous
Rotom Drone,Amorphous
Rotom Phone,Amorphous
Rotom Pokédex,Amorphous
Rowlet,Flying
Rufflet,Flying
